[stage2b] temp=0.7 seed=42 …
  seed=42 temp=0.7 [1/53] InfinityLoop1309.NewPipeEnhanced OK
  seed=42 temp=0.7 [2/53] a2dp.Vol OK
  seed=42 temp=0.7 [3/53] ac.robinson.mediaphone OK
  seed=42 temp=0.7 [4/53] ademar.bitac OK
  seed=42 temp=0.7 [5/53] agrigolo.opendrummer OK
  seed=42 temp=0.7 [6/53] anonvpn.anon_next.android OK
  seed=42 temp=0.7 [7/53] app.alextran.immich OK
  seed=42 temp=0.7 [8/53] app.comaps.fdroid OK
  seed=42 temp=0.7 [9/53] app.crescentcash.src OK
  seed=42 temp=0.7 [10/53] app.fedilab.castlab OK
  seed=42 temp=0.7 [11/53] app.fedilab.mobilizon OK
  seed=42 temp=0.7 [12/53] app.fedilab.nitterizemelite OK
  seed=42 temp=0.7 [13/53] app.hypostats OK
  seed=42 temp=0.7 [14/53] app.ladefuchs.android OK
  seed=42 temp=0.7 [15/53] app.michaelwuensch.bitbanana OK
  seed=42 temp=0.7 [16/53] app.notesr OK
  seed=42 temp=0.7 [17/53] app.organicmaps OK
  seed=42 temp=0.7 [18/53] app.pachli OK
  seed=42 temp=0.7 [19/53] app.prav.client OK
  seed=42 temp=0.7 [20/53] app.tice.TICE.production OK
  seed=42 temp=0.7 [21/53] app.tujice.jergasColombia OK
  seed=42 temp=0.7 [22/53] app.udderance OK
  seed=42 temp=0.7 [23/53] at.linuxtage.Eventfahrplan OK
  seed=42 temp=0.7 [24/53] at.manuelbichler.octalsuntime OK
  seed=42 temp=0.7 [25/53] at.tomtasche.reader OK
  seed=42 temp=0.7 [26/53] au.com.wallaceit.reddinator OK
  seed=42 temp=0.7 [27/53] barilyuk.batterytemperature OK
  seed=42 temp=0.7 [28/53] be.digitalia.fosdem OK
  seed=42 temp=0.7 [29/53] be.humanoids.webthingify OK
  seed=42 temp=0.7 [30/53] be.mygod.vpnhotspot_foss OK
  seed=42 temp=0.7 [31/53] biz.binarysolutions.mindfulnessmeditation OK
  seed=42 temp=0.7 [32/53] biz.binarysolutions.stress OK
  seed=42 temp=0.7 [33/53] biz.binarysolutions.vatcalculator OK
  seed=42 temp=0.7 [34/53] bluepie.ad_silence OK
  seed=42 temp=0.7 [35/53] btools.routingapp OK
  seed=42 temp=0.7 [36/53] bus.chio.wishmaster OK
  seed=42 temp=0.7 [37/53] ca.andries.portknocker OK
  seed=42 temp=0.7 [38/53] ca.chancehorizon.paseo OK
  seed=42 temp=0.7 [39/53] ca.farrelltonsolar.classic OK
  seed=42 temp=0.7 [40/53] ca.momi.lift OK
  seed=42 temp=0.7 [41/53] ca.ramzan.delist OK
  seed=42 temp=0.7 [42/53] ca.rmen.android.frenchcalendar OK
  seed=42 temp=0.7 [43/53] ca.rmen.android.scrumchatter OK
  seed=42 temp=0.7 [44/53] ca.rmen.nounours OK
  seed=42 temp=0.7 [45/53] cc.kafuu.bilidownload OK
  seed=42 temp=0.7 [46/53] cf.playhi.freezeyou OK
  seed=42 temp=0.7 [47/53] ch.abertschi.waterme.water_me OK
  seed=42 temp=0.7 [48/53] ch.bubendorf.locusaddon.gsakdatabase OK
  seed=42 temp=0.7 [49/53] ch.hgdev.toposuite OK
  seed=42 temp=0.7 [50/53] ch.joshuah.bibleverseapp OK
  seed=42 temp=0.7 [51/53] ch.mydoli.focal OK
  seed=42 temp=0.7 [52/53] cityfreqs.com.pilfershushjammer OK
  seed=42 temp=0.7 [53/53] cl.coders.faketraveler OK
[stage2b] temp=0.7 seed=43 …
  seed=43 temp=0.7 [1/53] InfinityLoop1309.NewPipeEnhanced OK
  seed=43 temp=0.7 [2/53] a2dp.Vol OK
  seed=43 temp=0.7 [3/53] ac.robinson.mediaphone OK
  seed=43 temp=0.7 [4/53] ademar.bitac OK
  seed=43 temp=0.7 [5/53] agrigolo.opendrummer OK
  seed=43 temp=0.7 [6/53] anonvpn.anon_next.android OK
  seed=43 temp=0.7 [7/53] app.alextran.immich OK
  seed=43 temp=0.7 [8/53] app.comaps.fdroid OK
  seed=43 temp=0.7 [9/53] app.crescentcash.src OK
  seed=43 temp=0.7 [10/53] app.fedilab.castlab OK
  seed=43 temp=0.7 [11/53] app.fedilab.mobilizon OK
  seed=43 temp=0.7 [12/53] app.fedilab.nitterizemelite OK
  seed=43 temp=0.7 [13/53] app.hypostats OK
  seed=43 temp=0.7 [14/53] app.ladefuchs.android OK
  seed=43 temp=0.7 [15/53] app.michaelwuensch.bitbanana OK
  seed=43 temp=0.7 [16/53] app.notesr OK
  seed=43 temp=0.7 [17/53] app.organicmaps OK
  seed=43 temp=0.7 [18/53] app.pachli OK
  seed=43 temp=0.7 [19/53] app.prav.client OK
  seed=43 temp=0.7 [20/53] app.tice.TICE.production OK
  seed=43 temp=0.7 [21/53] app.tujice.jergasColombia OK
  seed=43 temp=0.7 [22/53] app.udderance OK
  seed=43 temp=0.7 [23/53] at.linuxtage.Eventfahrplan OK
  seed=43 temp=0.7 [24/53] at.manuelbichler.octalsuntime OK
  seed=43 temp=0.7 [25/53] at.tomtasche.reader OK
  seed=43 temp=0.7 [26/53] au.com.wallaceit.reddinator OK
  seed=43 temp=0.7 [27/53] barilyuk.batterytemperature OK
  seed=43 temp=0.7 [28/53] be.digitalia.fosdem OK
  seed=43 temp=0.7 [29/53] be.humanoids.webthingify OK
  seed=43 temp=0.7 [30/53] be.mygod.vpnhotspot_foss OK
  seed=43 temp=0.7 [31/53] biz.binarysolutions.mindfulnessmeditation OK
  seed=43 temp=0.7 [32/53] biz.binarysolutions.stress OK
  seed=43 temp=0.7 [33/53] biz.binarysolutions.vatcalculator OK
  seed=43 temp=0.7 [34/53] bluepie.ad_silence OK
  seed=43 temp=0.7 [35/53] btools.routingapp OK
  seed=43 temp=0.7 [36/53] bus.chio.wishmaster OK
  seed=43 temp=0.7 [37/53] ca.andries.portknocker OK
  seed=43 temp=0.7 [38/53] ca.chancehorizon.paseo OK
  seed=43 temp=0.7 [39/53] ca.farrelltonsolar.classic OK
  seed=43 temp=0.7 [40/53] ca.momi.lift OK
  seed=43 temp=0.7 [41/53] ca.ramzan.delist OK
  seed=43 temp=0.7 [42/53] ca.rmen.android.frenchcalendar OK
  seed=43 temp=0.7 [43/53] ca.rmen.android.scrumchatter OK
  seed=43 temp=0.7 [44/53] ca.rmen.nounours OK
  seed=43 temp=0.7 [45/53] cc.kafuu.bilidownload OK
  seed=43 temp=0.7 [46/53] cf.playhi.freezeyou OK
  seed=43 temp=0.7 [47/53] ch.abertschi.waterme.water_me OK
  seed=43 temp=0.7 [48/53] ch.bubendorf.locusaddon.gsakdatabase OK
  seed=43 temp=0.7 [49/53] ch.hgdev.toposuite OK
  seed=43 temp=0.7 [50/53] ch.joshuah.bibleverseapp OK
  seed=43 temp=0.7 [51/53] ch.mydoli.focal OK
  seed=43 temp=0.7 [52/53] cityfreqs.com.pilfershushjammer OK
  seed=43 temp=0.7 [53/53] cl.coders.faketraveler OK
[stage2b] temp=0.7 seed=44 …
  seed=44 temp=0.7 [1/53] InfinityLoop1309.NewPipeEnhanced OK
  seed=44 temp=0.7 [2/53] a2dp.Vol OK
  seed=44 temp=0.7 [3/53] ac.robinson.mediaphone OK
  seed=44 temp=0.7 [4/53] ademar.bitac OK
  seed=44 temp=0.7 [5/53] agrigolo.opendrummer OK
  seed=44 temp=0.7 [6/53] anonvpn.anon_next.android OK
  seed=44 temp=0.7 [7/53] app.alextran.immich OK
  seed=44 temp=0.7 [8/53] app.comaps.fdroid OK
  seed=44 temp=0.7 [9/53] app.crescentcash.src OK
  seed=44 temp=0.7 [10/53] app.fedilab.castlab OK
  seed=44 temp=0.7 [11/53] app.fedilab.mobilizon OK
  seed=44 temp=0.7 [12/53] app.fedilab.nitterizemelite OK
  seed=44 temp=0.7 [13/53] app.hypostats OK
  seed=44 temp=0.7 [14/53] app.ladefuchs.android OK
  seed=44 temp=0.7 [15/53] app.michaelwuensch.bitbanana OK
  seed=44 temp=0.7 [16/53] app.notesr OK
  seed=44 temp=0.7 [17/53] app.organicmaps OK
  seed=44 temp=0.7 [18/53] app.pachli OK
  seed=44 temp=0.7 [19/53] app.prav.client OK
  seed=44 temp=0.7 [20/53] app.tice.TICE.production OK
  seed=44 temp=0.7 [21/53] app.tujice.jergasColombia OK
  seed=44 temp=0.7 [22/53] app.udderance OK
  seed=44 temp=0.7 [23/53] at.linuxtage.Eventfahrplan OK
  seed=44 temp=0.7 [24/53] at.manuelbichler.octalsuntime OK
  seed=44 temp=0.7 [25/53] at.tomtasche.reader OK
  seed=44 temp=0.7 [26/53] au.com.wallaceit.reddinator OK
  seed=44 temp=0.7 [27/53] barilyuk.batterytemperature OK
  seed=44 temp=0.7 [28/53] be.digitalia.fosdem OK
  seed=44 temp=0.7 [29/53] be.humanoids.webthingify OK
  seed=44 temp=0.7 [30/53] be.mygod.vpnhotspot_foss OK
  seed=44 temp=0.7 [31/53] biz.binarysolutions.mindfulnessmeditation OK
  seed=44 temp=0.7 [32/53] biz.binarysolutions.stress OK
  seed=44 temp=0.7 [33/53] biz.binarysolutions.vatcalculator OK
  seed=44 temp=0.7 [34/53] bluepie.ad_silence OK
  seed=44 temp=0.7 [35/53] btools.routingapp OK
  seed=44 temp=0.7 [36/53] bus.chio.wishmaster OK
  seed=44 temp=0.7 [37/53] ca.andries.portknocker OK
  seed=44 temp=0.7 [38/53] ca.chancehorizon.paseo OK
  seed=44 temp=0.7 [39/53] ca.farrelltonsolar.classic OK
  seed=44 temp=0.7 [40/53] ca.momi.lift OK
  seed=44 temp=0.7 [41/53] ca.ramzan.delist OK
  seed=44 temp=0.7 [42/53] ca.rmen.android.frenchcalendar OK
  seed=44 temp=0.7 [43/53] ca.rmen.android.scrumchatter OK
  seed=44 temp=0.7 [44/53] ca.rmen.nounours OK
  seed=44 temp=0.7 [45/53] cc.kafuu.bilidownload OK
  seed=44 temp=0.7 [46/53] cf.playhi.freezeyou OK
  seed=44 temp=0.7 [47/53] ch.abertschi.waterme.water_me OK
  seed=44 temp=0.7 [48/53] ch.bubendorf.locusaddon.gsakdatabase OK
  seed=44 temp=0.7 [49/53] ch.hgdev.toposuite OK
  seed=44 temp=0.7 [50/53] ch.joshuah.bibleverseapp OK
  seed=44 temp=0.7 [51/53] ch.mydoli.focal OK
  seed=44 temp=0.7 [52/53] cityfreqs.com.pilfershushjammer OK
  seed=44 temp=0.7 [53/53] cl.coders.faketraveler OK
[stage2b] temp=0.7 seed=45 …
  seed=45 temp=0.7 [1/53] InfinityLoop1309.NewPipeEnhanced OK
  seed=45 temp=0.7 [2/53] a2dp.Vol OK
  seed=45 temp=0.7 [3/53] ac.robinson.mediaphone OK
  seed=45 temp=0.7 [4/53] ademar.bitac OK
  seed=45 temp=0.7 [5/53] agrigolo.opendrummer OK
  seed=45 temp=0.7 [6/53] anonvpn.anon_next.android OK
  seed=45 temp=0.7 [7/53] app.alextran.immich OK
  seed=45 temp=0.7 [8/53] app.comaps.fdroid OK
  seed=45 temp=0.7 [9/53] app.crescentcash.src OK
  seed=45 temp=0.7 [10/53] app.fedilab.castlab OK
  seed=45 temp=0.7 [11/53] app.fedilab.mobilizon OK
  seed=45 temp=0.7 [12/53] app.fedilab.nitterizemelite OK
  seed=45 temp=0.7 [13/53] app.hypostats OK
  seed=45 temp=0.7 [14/53] app.ladefuchs.android OK
  seed=45 temp=0.7 [15/53] app.michaelwuensch.bitbanana OK
  seed=45 temp=0.7 [16/53] app.notesr OK
  seed=45 temp=0.7 [17/53] app.organicmaps OK
  seed=45 temp=0.7 [18/53] app.pachli OK
  seed=45 temp=0.7 [19/53] app.prav.client OK
  seed=45 temp=0.7 [20/53] app.tice.TICE.production OK
  seed=45 temp=0.7 [21/53] app.tujice.jergasColombia OK
  seed=45 temp=0.7 [22/53] app.udderance OK
  seed=45 temp=0.7 [23/53] at.linuxtage.Eventfahrplan OK
  seed=45 temp=0.7 [24/53] at.manuelbichler.octalsuntime OK
  seed=45 temp=0.7 [25/53] at.tomtasche.reader OK
  seed=45 temp=0.7 [26/53] au.com.wallaceit.reddinator OK
  seed=45 temp=0.7 [27/53] barilyuk.batterytemperature OK
  seed=45 temp=0.7 [28/53] be.digitalia.fosdem OK
  seed=45 temp=0.7 [29/53] be.humanoids.webthingify OK
  seed=45 temp=0.7 [30/53] be.mygod.vpnhotspot_foss OK
  seed=45 temp=0.7 [31/53] biz.binarysolutions.mindfulnessmeditation OK
  seed=45 temp=0.7 [32/53] biz.binarysolutions.stress OK
  seed=45 temp=0.7 [33/53] biz.binarysolutions.vatcalculator OK
  seed=45 temp=0.7 [34/53] bluepie.ad_silence OK
  seed=45 temp=0.7 [35/53] btools.routingapp OK
  seed=45 temp=0.7 [36/53] bus.chio.wishmaster OK
  seed=45 temp=0.7 [37/53] ca.andries.portknocker OK
  seed=45 temp=0.7 [38/53] ca.chancehorizon.paseo OK
  seed=45 temp=0.7 [39/53] ca.farrelltonsolar.classic OK
  seed=45 temp=0.7 [40/53] ca.momi.lift OK
  seed=45 temp=0.7 [41/53] ca.ramzan.delist OK
  seed=45 temp=0.7 [42/53] ca.rmen.android.frenchcalendar OK
  seed=45 temp=0.7 [43/53] ca.rmen.android.scrumchatter OK
  seed=45 temp=0.7 [44/53] ca.rmen.nounours OK
  seed=45 temp=0.7 [45/53] cc.kafuu.bilidownload OK
  seed=45 temp=0.7 [46/53] cf.playhi.freezeyou OK
  seed=45 temp=0.7 [47/53] ch.abertschi.waterme.water_me OK
  seed=45 temp=0.7 [48/53] ch.bubendorf.locusaddon.gsakdatabase OK
  seed=45 temp=0.7 [49/53] ch.hgdev.toposuite OK
  seed=45 temp=0.7 [50/53] ch.joshuah.bibleverseapp OK
  seed=45 temp=0.7 [51/53] ch.mydoli.focal OK
  seed=45 temp=0.7 [52/53] cityfreqs.com.pilfershushjammer OK
  seed=45 temp=0.7 [53/53] cl.coders.faketraveler OK
[stage2b] temp=0.7 seed=46 …
  seed=46 temp=0.7 [1/53] InfinityLoop1309.NewPipeEnhanced OK
  seed=46 temp=0.7 [2/53] a2dp.Vol OK
  seed=46 temp=0.7 [3/53] ac.robinson.mediaphone OK
  seed=46 temp=0.7 [4/53] ademar.bitac OK
  seed=46 temp=0.7 [5/53] agrigolo.opendrummer OK
  seed=46 temp=0.7 [6/53] anonvpn.anon_next.android OK
  seed=46 temp=0.7 [7/53] app.alextran.immich OK
  seed=46 temp=0.7 [8/53] app.comaps.fdroid OK
  seed=46 temp=0.7 [9/53] app.crescentcash.src OK
  seed=46 temp=0.7 [10/53] app.fedilab.castlab OK
  seed=46 temp=0.7 [11/53] app.fedilab.mobilizon OK
  seed=46 temp=0.7 [12/53] app.fedilab.nitterizemelite OK
  seed=46 temp=0.7 [13/53] app.hypostats OK
  seed=46 temp=0.7 [14/53] app.ladefuchs.android OK
  seed=46 temp=0.7 [15/53] app.michaelwuensch.bitbanana OK
  seed=46 temp=0.7 [16/53] app.notesr OK
  seed=46 temp=0.7 [17/53] app.organicmaps OK
  seed=46 temp=0.7 [18/53] app.pachli OK
  seed=46 temp=0.7 [19/53] app.prav.client OK
