package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,3.2663880119798705e-05
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.025419697165489197
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.27366873621940613
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.28445735573768616
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,7,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,8,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,9,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,10,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s1,11,train,2,1,224,0.2725710868835449
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.2803119719028473
ch.hgdev.toposuite,05e3f19e2717_llm_s3,7,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,8,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,9,train,2,1,224,0.7047097086906433
ch.hgdev.toposuite,05e3f19e2717_llm_s3,10,train,2,1,224,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.4321173131465912
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.5292502641677856
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,11,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,12,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,13,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,14,test,2,2,474,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s1,15,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,16,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,17,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,18,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s1,19,test,2,2,474,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,test,2,2,661,0.4373897314071655
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,test,2,2,661,0.5785614252090454
ca.rmen.nounours,0e7da7b17b63_llm_s2,11,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,12,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,13,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,14,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,15,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,16,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,17,test,2,2,661,0.35258913040161133
ca.rmen.nounours,0e7da7b17b63_llm_s2,18,test,2,2,661,0.4193744361400604
ca.rmen.nounours,0e7da7b17b63_llm_s2,19,test,2,2,661,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s2,20,test,2,2,661,0.46242818236351013
ca.rmen.nounours,0e7da7b17b63_llm_s2,21,test,2,2,661,0.590856671333313
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,8,test,2,2,498,0.505222737789154
ca.rmen.nounours,0e7da7b17b63_llm_s3,9,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,10,test,2,2,498,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s3,11,test,2,2,498,-0.0
ca.rmen.nounours,0e7da7b17b63_llm_s3,12,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,13,test,2,2,498,0.35235485434532166
ca.rmen.nounours,0e7da7b17b63_llm_s3,14,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,15,test,2,2,498,1.4901172562531428e-06
ca.rmen.nounours,0e7da7b17b63_llm_s3,16,test,2,2,498,0.3671712577342987
ca.rmen.nounours,0e7da7b17b63_llm_s3,17,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,18,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,19,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,20,test,2,2,498,0.7047097086906433
ca.rmen.nounours,0e7da7b17b63_llm_s3,21,test,2,2,498,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,2,1,106,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s1,5,test,3,3,106,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,2,1,101,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,2,1,101,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,5,test,3,3,101,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s2,6,test,3,3,101,0.47001877427101135
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s3,3,test,2,1,113,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s3,4,test,2,1,113,0.7047097086906433
app.ladefuchs.android,0f0dc4577a45_llm_s3,5,test,3,3,113,0.4698064625263214
app.ladefuchs.android,0f0dc4577a45_llm_s3,6,test,3,3,113,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,1,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,2,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,3,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,4,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,5,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,6,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,7,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,8,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,9,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,10,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,11,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,12,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,13,test,2,1,74,0.2739691436290741
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,14,test,2,1,74,0.2813042402267456
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,15,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,16,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,17,test,2,1,74,0.2946208715438843
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,1,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,2,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,3,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,4,test,2,1,74,0.008879149332642555
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,5,test,2,1,74,0.0238142479211092
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,6,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,7,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,8,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,9,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,10,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,11,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,12,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,13,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,14,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,15,test,2,1,74,0.2967677116394043
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,16,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,17,test,2,1,74,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,1,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,2,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,3,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,4,test,2,1,80,0.008836633525788784
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,5,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,6,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,7,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,8,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,9,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,10,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,11,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,12,test,2,1,80,0.27483394742012024
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,13,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,14,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,15,test,2,1,80,0.2967677116394043
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,16,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,17,test,2,1,80,0.7047097086906433
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,18,test,2,1,80,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,0,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,1,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,2,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,3,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,4,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s1,5,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s1,6,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,7,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,8,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,9,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,10,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s1,11,train,3,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,0,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,1,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,2,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,3,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,4,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,5,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,6,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,7,train,2,1,169,-0.0
app.udderance,2074fc55fb78_llm_s2,8,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,9,train,2,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s2,10,train,2,1,169,-0.0
app.udderance,2074fc55fb78_llm_s2,11,train,3,1,169,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,0,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s3,1,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,2,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,3,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,4,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,5,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,6,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,7,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s3,8,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,9,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,10,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,11,train,2,1,170,0.7047097086906433
app.udderance,2074fc55fb78_llm_s3,12,train,3,1,170,0.7047097086906433
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,0,train,2,2,42,0.7047097086906433
