package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,1.788139485370266e-07
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.057303670793771744
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.21559138596057892
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.16036662459373474
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,7,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,8,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,9,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,10,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s1,11,train,2,1,224,0.09568452835083008
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.13203687965869904
ch.hgdev.toposuite,05e3f19e2717_llm_s3,7,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,8,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,9,train,2,1,224,0.7031567096710205
ch.hgdev.toposuite,05e3f19e2717_llm_s3,10,train,2,1,224,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.35157835483551025
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.35157835483551025
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.4451843202114105
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.5241502523422241
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,11,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,12,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,13,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,14,test,2,2,474,0.35157841444015503
ca.rmen.nounours,0e7da7b17b63_llm_s1,15,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,16,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,17,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,18,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s1,19,test,2,2,474,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.35157835483551025
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.35157835483551025
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.35157835483551025
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,test,2,2,661,0.44088882207870483
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,test,2,2,661,0.5077540874481201
ca.rmen.nounours,0e7da7b17b63_llm_s2,11,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,12,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,13,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,14,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,15,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,16,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,17,test,2,2,661,0.35211142897605896
ca.rmen.nounours,0e7da7b17b63_llm_s2,18,test,2,2,661,0.40486016869544983
ca.rmen.nounours,0e7da7b17b63_llm_s2,19,test,2,2,661,0.7031567096710205
ca.rmen.nounours,0e7da7b17b63_llm_s2,20,test,2,2,661,0.3102799952030182
