package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,2.890867108362727e-05
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,5.960464477539063e-08
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.0022350475192070007
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,5.960464477539063e-08
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.6987003087997437
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.34952306747436523
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,test,2,2,474,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,test,2,2,661,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,test,2,2,661,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,test,2,2,661,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,test,2,2,661,0.3495071828365326
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.3493501543998718
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.6987003087997437
ca.rmen.nounours,0e7da7b17b63_llm_s3,8,test,2,2,498,0.001667697331868112
ca.rmen.nounours,0e7da7b17b63_llm_s3,9,test,2,2,498,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.4658001959323883
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,3,3,101,0.6987002491950989
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,3,3,101,5.301261262502521e-05
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.6987003087997437
app.ladefuchs.android,0f0dc4577a45_llm_s3,3,test,2,1,113,0.6987003087997437
