package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7049781084060669
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7049781084060669
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7049781084060669
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.7049781084060669
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7049781084060669
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,3,3,106,0.7049781680107117
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,3,3,101,0.7049781680107117
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,3,3,113,0.7049781680107117
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,0,test,2,2,74,0.7049781084060669
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,0,test,2,2,74,0.4438796639442444
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,0,test,2,2,80,0.4509439468383789
app.udderance,2074fc55fb78_llm_s1,0,train,3,1,170,0.7049781084060669
app.udderance,2074fc55fb78_llm_s2,0,train,3,1,169,1.1920928955078125e-07
app.udderance,2074fc55fb78_llm_s3,0,train,3,1,170,0.7049781084060669
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,0,train,2,2,42,0.7049781084060669
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,0,train,2,2,42,0.7049781084060669
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,0,train,2,2,42,0.7049781084060669
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,0,train,3,5,134,0.5699597597122192
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,0,train,3,5,138,0.2909085154533386
ca.farrelltonsolar.classic,2d767cdb301f_llm_s3,0,train,3,5,130,0.7049781084060669
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,0,test,4,4,24,9.130590438842773
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,0,test,4,4,21,0.7049781084060669
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,0,test,4,4,23,0.49487370252609253
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,0,train,2,2,199,0.7049781084060669
app.fedilab.nitterizemelite,30ae40611f5f_llm_s2,0,train,2,2,199,0.7049781084060669
app.fedilab.nitterizemelite,30ae40611f5f_llm_s3,0,train,2,2,199,0.7049781084060669
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,0,test,3,5,1941,0.4229868948459625
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,0,test,3,5,1941,0.4229868948459625
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,0,test,3,5,1941,0.7049781084060669
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,0,train,2,2,46,0.7049781084060669
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,0,train,2,2,56,0.3533368408679962
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,0,train,2,1,44,0.7049781084060669
bus.chio.wishmaster,39f811f07c23_llm_s1,0,test,2,1,52,3.933984044124372e-05
bus.chio.wishmaster,39f811f07c23_llm_s2,0,test,2,1,52,0.7049781084060669
bus.chio.wishmaster,39f811f07c23_llm_s3,0,test,2,1,52,0.0007179572130553424
app.comaps.fdroid,47d583fd8b06_llm_s1,0,train,5,8,160,0.7990293502807617
app.comaps.fdroid,47d583fd8b06_llm_s2,0,train,5,7,148,0.6819413900375366
app.comaps.fdroid,47d583fd8b06_llm_s3,0,train,5,7,157,0.6542971134185791
app.organicmaps,4862fbeed029_llm_s1,0,test,5,5,145,7.235037326812744
app.organicmaps,4862fbeed029_llm_s2,0,test,5,5,142,0.5725380182266235
app.organicmaps,4862fbeed029_llm_s3,0,test,5,5,142,0.7049781084060669
ac.robinson.mediaphone,497e019dc8a1_llm_s1,0,train,4,9,784,0.4699854254722595
ac.robinson.mediaphone,497e019dc8a1_llm_s2,0,train,4,9,760,0.6266472339630127
ac.robinson.mediaphone,497e019dc8a1_llm_s3,0,train,4,9,1034,0.31332361698150635
at.mikenet.serbianlatintocyrillic,4b633ea030db_llm_s3,0,train,2,2,34,0.7049781084060669
app.fedilab.castlab,5719f3b34f71_llm_s1,0,train,4,4,69,0.528843879699707
app.fedilab.castlab,5719f3b34f71_llm_s2,0,train,4,4,92,0.352489173412323
app.fedilab.castlab,5719f3b34f71_llm_s3,0,train,4,6,79,0.35248908400535583
ca.rmen.android.frenchcalendar,5e76f97d0425_llm_s1,0,train,2,1,95,0.0006034406251274049
ca.rmen.android.frenchcalendar,5e76f97d0425_llm_s2,0,train,2,1,104,0.7049781084060669
