package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7431318759918213
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7431318759918213
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7431318759918213
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.7431318759918213
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7431318759918213
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,3,3,106,0.7431318759918213
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,3,3,101,0.7431318759918213
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,3,3,113,0.7431318759918213
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,0,test,2,2,74,0.7431318759918213
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,0,test,2,2,74,0.37156593799591064
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,0,test,2,2,80,0.37156593799591064
app.udderance,2074fc55fb78_llm_s1,0,train,3,1,170,0.7431318759918213
app.udderance,2074fc55fb78_llm_s2,0,train,3,1,169,-0.0
app.udderance,2074fc55fb78_llm_s3,0,train,3,1,170,0.7431318759918213
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,0,train,2,2,42,0.7431318759918213
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,0,train,2,2,42,0.7431318759918213
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,0,train,2,2,42,0.7431318759918213
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,0,train,3,5,134,0.5945054888725281
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,0,train,3,5,138,0.29725274443626404
ca.farrelltonsolar.classic,2d767cdb301f_llm_s3,0,train,3,5,130,0.7431318759918213
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,0,test,4,4,24,9.006454467773438
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,0,test,4,4,21,0.7431318759918213
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,0,test,4,4,23,0.3717099130153656
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,0,train,2,2,199,0.7431318759918213
app.fedilab.nitterizemelite,30ae40611f5f_llm_s2,0,train,2,2,199,0.7431318759918213
app.fedilab.nitterizemelite,30ae40611f5f_llm_s3,0,train,2,2,199,0.7431318759918213
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,0,test,3,5,1941,0.44587913155555725
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,0,test,3,5,1941,0.44587913155555725
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,0,test,3,5,1941,0.7431318759918213
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,0,train,2,2,46,0.7431318759918213
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,0,train,2,2,56,0.37156593799591064
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,0,train,2,1,44,0.7431318759918213
bus.chio.wishmaster,39f811f07c23_llm_s1,0,test,2,1,52,-0.0
bus.chio.wishmaster,39f811f07c23_llm_s2,0,test,2,1,52,0.7431318759918213
bus.chio.wishmaster,39f811f07c23_llm_s3,0,test,2,1,52,-0.0
app.comaps.fdroid,47d583fd8b06_llm_s1,0,train,5,8,160,4.78334903717041
app.comaps.fdroid,47d583fd8b06_llm_s2,0,train,5,7,148,0.5308098793029785
app.comaps.fdroid,47d583fd8b06_llm_s3,0,train,5,7,157,0.31848907470703125
app.organicmaps,4862fbeed029_llm_s1,0,test,5,5,145,7.205008506774902
app.organicmaps,4862fbeed029_llm_s2,0,test,5,5,142,0.5945054888725281
