package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7020753026008606
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.3510376513004303
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.3510376513004303
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.3510376513004303
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.7020753026008606
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.4669833183288574
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.7020753026008606
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.7020753026008606
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,3,3,106,0.7020753026008606
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,1.1920928955078125e-07
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,3,3,101,0.46814990043640137
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,3,3,101,0.7020753026008606
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,1.1920928955078125e-07
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,0.7020753026008606
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,3,3,113,0.4684886634349823
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,0,test,2,2,74,0.7020753026008606
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,1,test,2,2,74,0.7020753026008606
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,2,test,2,2,74,0.5660248398780823
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,3,test,2,2,74,0.7020753026008606
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,0,test,2,2,74,0.37314432859420776
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,1,test,2,2,74,0.7020753026008606
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,2,test,2,2,74,0.5133379697799683
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,3,test,2,2,74,0.37767598032951355
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,0,test,2,2,80,0.7020753026008606
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,1,test,2,2,80,0.7020753026008606
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,2,test,2,2,80,0.7020753026008606
