package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,0.2884158790111542
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,3.242545426473953e-05
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.300427109003067
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.7025355696678162
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.3513006865978241
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.3512692451477051
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,test,2,2,474,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s1,11,test,2,2,474,0.5896672010421753
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,test,2,2,661,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s2,11,test,2,2,661,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.35126781463623047
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s3,8,test,2,2,498,0.3512677848339081
ca.rmen.nounours,0e7da7b17b63_llm_s3,9,test,2,2,498,0.7025355696678162
ca.rmen.nounours,0e7da7b17b63_llm_s3,10,test,2,2,498,0.506859302520752
ca.rmen.nounours,0e7da7b17b63_llm_s3,11,test,2,2,498,0.5798695087432861
ca.rmen.nounours,0e7da7b17b63_llm_s3,12,test,2,2,498,0.48710381984710693
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,3,3,101,0.2341785877943039
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,3,3,101,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s3,3,test,2,1,113,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s3,4,test,3,3,113,0.7025355696678162
app.ladefuchs.android,0f0dc4577a45_llm_s3,5,test,3,3,113,0.2347961813211441
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,1,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,2,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,3,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,4,test,2,2,74,0.48261237144470215
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,5,test,2,2,74,0.5659527778625488
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,6,test,2,2,74,0.4763120114803314
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,7,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,8,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,9,test,2,2,74,0.5920854210853577
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,1,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,2,test,2,2,74,0.3529665470123291
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,3,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,4,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,5,test,2,2,74,0.566130518913269
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,6,test,2,2,74,0.7025355696678162
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,7,test,2,2,74,0.5931535363197327
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,8,test,2,2,74,0.5911895036697388
