package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.007053996901959181
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.7022819519042969
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.2335427701473236
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.23469454050064087
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.35114097595214844
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.35114097595214844
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.3511412441730499
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.35114097595214844
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.7022819519042969
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.5601375699043274
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.7022819519042969
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.7022819519042969
