package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,3,train,2,2,430,-0.0
co.ec.cnsyn.codecatcher,166d4cb9b0f7_llm_s1,1,train,2,2,694,-0.0
com.aaronjwood.portauthority,416791a88e5a_llm_s1,0,test,2,1,10,0.0003990134864579886
ch.mydoli.focal,bbf18ac3b134_llm_s1,0,train,2,2,45,0.0018185810185968876
cityfreqs.com.pilfershushjammer,c7c04de887f3_llm_s1,1,train,2,1,12,0.00718660419806838
ca.littlesvr.everyonestimetable,22f89723dffa_llm_s1,1,train,3,2,135,0.007853785529732704
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,4,train,2,2,67,0.026425881311297417
ca.cmetcalfe.locationshare,e9bb6243834c_llm_s1,0,train,2,1,82,0.03848111629486084
com.GTP.eveminer,68c61bf76203_llm_s1,4,train,3,5,10867,0.13922825455665588
at.bitfire.davdroid,635f2031ec56_llm_s1,4,train,3,2,269,0.19233953952789307
ac.robinson.mediaphone,497e019dc8a1_llm_s1,4,train,4,9,3065,0.23204705119132996
askanimus.arbeitszeiterfassung2,0bdafb823df0_llm_s1,6,train,3,6,1510,0.23204706609249115
ca.chancehorizon.paseo,e271584cf787_llm_s1,1,train,4,12,287,0.23204706609249115
biz.binarysolutions.mindfulnessmeditation,fba1483a8a4d_llm_s1,0,train,3,3,10,0.23833757638931274
ch.protonvpn.android,0d50d7d9c132_llm_s1,4,train,4,11,7206,0.25314223766326904
app.tice.TICE.production,648d8ddb49f4_llm_s1,7,test,5,13,1864,0.26774662733078003
ch.bailu.aat,f10bae02e75b_llm_s1,3,train,5,10,800,0.2784564793109894
ch.bailu.aat,f10bae02e75b_llm_s1,1,train,5,10,800,0.2784564793109894
au.id.micolous.farebot,5139dd6b3c57_llm_s1,0,test,3,5,263,0.2784564793109894
com.GTP.eveminer,68c61bf76203_llm_s1,6,train,3,5,10867,0.2784568667411804
agrigolo.chubbyclick,13a5b49070c9_llm_s1,4,train,3,5,1501,0.2784591019153595
app.fedilab.castlab,5719f3b34f71_llm_s1,6,train,3,5,174,0.2820807993412018
ca.voiditswarranty.roadtripradar,885b48bee226_llm_s1,3,train,4,7,594,0.29834622144699097
app.tice.TICE.production,648d8ddb49f4_llm_s1,0,test,4,9,1864,0.30939608812332153
ac.robinson.mediaphone,497e019dc8a1_llm_s1,7,train,4,9,3065,0.30939608812332153
ch.protonvpn.android,0d50d7d9c132_llm_s1,3,train,4,11,7206,0.3164278268814087
biz.binarysolutions.mindfulnessmeditation,fba1483a8a4d_llm_s1,2,train,3,3,10,0.33565840125083923
ch.bailu.aat,f10bae02e75b_llm_s1,8,train,5,10,800,0.34807056188583374
at.linuxtage.Eventfahrplan,84bca8b5903c_llm_s1,3,train,3,6,50,0.34807059168815613
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,7,train,2,2,430,0.34807059168815613
app.varlorg.unote,66398ab95c74_llm_s1,8,test,2,2,1803,0.34807059168815613
app.varlorg.unote,66398ab95c74_llm_s1,7,test,2,2,1803,0.34807059168815613
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s1,7,train,3,6,1925,0.34807059168815613
com.absinthe.libchecker,ac1ff15c10bf_llm_s1,4,train,2,2,305,0.34807059168815613
co.ec.cnsyn.codecatcher,166d4cb9b0f7_llm_s1,8,train,2,2,694,0.34807059168815613
app.varlorg.unote,66398ab95c74_llm_s1,1,test,2,2,1803,0.34807059168815613
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,8,train,2,2,430,0.34807059168815613
app.wispar.wispar,7624058ce668_llm_s1,2,train,3,2,28,0.34807059168815613
com.absinthe.libchecker,ac1ff15c10bf_llm_s1,8,train,2,2,305,0.34807059168815613
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,train,2,2,874,0.34807059168815613
cc.echonet.coolmicapp,1266fdc2dbbf_llm_s1,2,train,4,6,2868,0.34807059168815613
cash.p.terminal,dcb9f7d62d6a_llm_s1,3,train,2,2,140,0.34807059168815613
ch.bailu.aat,f10bae02e75b_llm_s1,0,train,5,10,800,0.34807059168815613
askanimus.arbeitszeiterfassung2,0bdafb823df0_llm_s1,8,train,3,6,1510,0.34807059168815613
co.electriccoin.zcash.foss,ec04a971d6b5_llm_s1,3,train,2,2,359,0.34807059168815613
askanimus.arbeitszeiterfassung2,0bdafb823df0_llm_s1,7,train,3,6,1510,0.34807059168815613
ca.chancehorizon.paseo,e271584cf787_llm_s1,5,train,4,12,287,0.34807059168815613
ca.ramzan.virtuosity,653f472925cc_llm_s1,3,train,2,2,491,0.3480706214904785
com.abhijitvalluri.android.fitnotifications,6c59c1411181_llm_s1,0,test,4,6,100,0.3480706214904785
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,1,train,2,2,500,0.3480706512928009
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,0,train,2,2,500,0.3480706512928009
com.aefyr.sai.fdroid,cb96838c9a64_llm_s1,0,train,2,2,120,0.34809982776641846
aq.metallists.loudbang,714e56ae2182_llm_s1,3,train,3,4,22,0.34817370772361755
app.tujice.jergasColombia,ef6177e39b1d_llm_s1,2,train,3,4,29,0.3482843339443207
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,3,test,4,8,98,0.34842610359191895
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,train,2,2,874,0.3484806418418884
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,train,2,2,874,0.34849053621292114
ca.littlesvr.everyonestimetable,22f89723dffa_llm_s1,4,train,3,2,135,0.3485904335975647
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,7,test,4,8,98,0.34860336780548096
ca.littlesvr.everyonestimetable,22f89723dffa_llm_s1,3,train,3,2,135,0.34882399439811707
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,6,train,2,2,430,0.3492618799209595
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,4,train,2,2,500,0.3501322865486145
bluepie.ad_silence,c134927f92ec_llm_s1,0,test,2,2,11,0.35031256079673767
ca.littlesvr.everyonestimetable,22f89723dffa_llm_s1,2,train,3,2,135,0.3505699336528778
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,4,train,2,2,149,0.3524166941642761
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,5,train,2,2,149,0.3545045852661133
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,6,train,2,2,149,0.35478806495666504
at.jclehner.rxdroid,e8b32f0b1998_llm_s1,3,test,3,4,607,0.35484039783477783
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,2,train,2,2,67,0.3562929928302765
app.fedilab.mobilizon,9b7a3d5efee6_llm_s1,1,train,5,14,139,0.3564772307872772
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,1,train,2,2,149,0.35989826917648315
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,5,train,2,2,67,0.3613682687282562
ch.mydoli.focal,bbf18ac3b134_llm_s1,6,train,2,2,45,0.36157265305519104
ch.mydoli.focal,bbf18ac3b134_llm_s1,3,train,2,2,45,0.3616866171360016
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,2,train,2,2,97,0.3624305725097656
ch.mydoli.focal,bbf18ac3b134_llm_s1,4,train,2,2,45,0.36267536878585815
ch.mydoli.focal,bbf18ac3b134_llm_s1,5,train,2,2,45,0.363081157207489
ch.mydoli.focal,bbf18ac3b134_llm_s1,2,train,2,2,45,0.3634776473045349
ai.susi,6f8510108099_llm_s1,3,train,5,17,706,0.3685452938079834
ai.susi,6f8510108099_llm_s1,7,train,5,17,706,0.36854979395866394
app.tice.TICE.production,648d8ddb49f4_llm_s1,6,test,5,13,1864,0.3748452365398407
app.tice.TICE.production,648d8ddb49f4_llm_s1,2,test,5,13,1864,0.3748452365398407
ch.rmy.android.statusbar_tacho,ee1abcd9f921_llm_s1,1,train,4,9,179,0.3867450952529907
ac.robinson.mediaphone,497e019dc8a1_llm_s1,6,train,4,9,3065,0.3867450952529907
code.name.monkey.retromusic,c1898e1fcef7_llm_s1,7,train,4,9,732,0.3867450952529907
au.com.wallaceit.reddinator,c3751de467a1_llm_s1,5,train,4,9,256,0.3867450952529907
code.name.monkey.retromusic,c1898e1fcef7_llm_s1,2,train,4,9,732,0.3867450952529907
code.name.monkey.retromusic,c1898e1fcef7_llm_s1,1,train,4,9,732,0.3867450952529907
ac.robinson.mediaphone,497e019dc8a1_llm_s1,1,train,4,9,3065,0.3867450952529907
ca.chancehorizon.paseo,e271584cf787_llm_s1,3,train,4,12,287,0.4060823619365692
ai.susi,6f8510108099_llm_s1,5,train,5,17,706,0.4094948172569275
