package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
app.udderance,2074fc55fb78_llm_s2,0,train,2,1,169,-0.0
bus.chio.wishmaster,39f811f07c23_llm_s2,0,test,2,1,52,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,-0.0
bus.chio.wishmaster,39f811f07c23_llm_s1,0,test,2,1,52,-0.0
ca.rmen.android.frenchcalendar,5e76f97d0425_llm_s3,1,train,2,1,103,-0.0
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,-0.0
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,1.4901172562531428e-06
ca.rmen.android.frenchcalendar,5e76f97d0425_llm_s3,3,train,2,1,103,1.1920999895664863e-05
biz.binarysolutions.vatcalculator,bec3b8076c0f_llm_s2,2,train,2,1,10,0.001492242212407291
bus.chio.wishmaster,39f811f07c23_llm_s2,1,test,2,1,52,0.005170876160264015
app.prav.client,e4a6cdb972a2_llm_s2,0,train,3,1,254,0.015496619045734406
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,1,train,2,1,56,0.050891902297735214
biz.binarysolutions.vatcalculator,bec3b8076c0f_llm_s1,1,train,2,1,10,0.11792110651731491
barilyuk.batterytemperature,75dd71ae0f0a_llm_s3,7,train,4,10,703,0.13994058966636658
app.prav.client,e4a6cdb972a2_llm_s3,1,train,3,1,254,0.1482650190591812
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,2,test,4,4,24,0.17520274221897125
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,2,test,4,4,23,0.17539739608764648
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,3,test,4,4,21,0.1804175227880478
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.20858189463615417
cityfreqs.com.pilfershushjammer,c7c04de887f3_llm_s2,3,train,4,2,29,0.20918741822242737
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s2,6,train,4,10,1691,0.20991089940071106
cityfreqs.com.pilfershushjammer,c7c04de887f3_llm_s1,1,train,3,1,29,0.22274820506572723
ai.susi,6f8510108099_llm_s1,2,train,6,12,401,0.23323433101177216
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.23323433101177216
ac.robinson.mediaphone,497e019dc8a1_llm_s1,6,train,4,9,784,0.23323433101177216
cityfreqs.com.pilfershushjammer,c7c04de887f3_llm_s1,4,train,5,3,29,0.2332955151796341
ai.susi,6f8510108099_llm_s3,4,train,6,23,421,0.24337494373321533
ai.susi,6f8510108099_llm_s3,1,train,6,20,421,0.2448960244655609
app.fedilab.mobilizon,9b7a3d5efee6_llm_s3,2,train,5,14,127,0.24989907443523407
biz.binarysolutions.mindfulnessmeditation,fba1483a8a4d_llm_s2,1,train,3,3,10,0.25088071823120117
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s1,4,train,6,16,388,0.2623886168003082
app.fedilab.mobilizon,9b7a3d5efee6_llm_s2,0,train,5,13,127,0.26912885904312134
