app_id,n_new_slots,n_fail,fail_rate
InfinityLoop1309.NewPipeEnhanced,6,2,0.3333333333333333
ac.robinson.mediaphone,6,0,0.0
ai.susi,6,0,0.0
anonvpn.anon_next.android,6,2,0.3333333333333333
app.comaps.fdroid,6,2,0.3333333333333333
app.fedilab.castlab,6,2,0.3333333333333333
app.fedilab.mobilizon,6,6,1.0
app.fedilab.nitterizeme,6,0,0.0
app.fedilab.nitterizemelite,6,0,0.0
app.ladefuchs.android,6,6,1.0
app.michaelwuensch.bitbanana,6,0,0.0
app.organicmaps,6,3,0.5
app.prav.client,6,0,0.0
app.tice.TICE.production,6,4,0.6666666666666666
app.tujice.jergasColombia,6,0,0.0
app.udderance,6,6,1.0
at.linuxtage.Eventfahrplan,6,0,0.0
at.mikenet.serbianlatintocyrillic,6,2,0.3333333333333333
au.com.wallaceit.reddinator,6,0,0.0
barilyuk.batterytemperature,6,0,0.0
be.digitalia.fosdem,5,0,0.0
be.mygod.vpnhotspot_foss,5,0,0.0
biz.binarysolutions.mindfulnessmeditation,5,2,0.4
biz.binarysolutions.vatcalculator,5,0,0.0
bluepie.ad_silence,5,0,0.0
bus.chio.wishmaster,5,0,0.0
ca.chancehorizon.paseo,5,0,0.0
ca.farrelltonsolar.classic,5,0,0.0
ca.rmen.android.frenchcalendar,5,0,0.0
ca.rmen.android.scrumchatter,5,0,0.0
ca.rmen.nounours,5,0,0.0
cat.jordihernandez.cinecat,5,0,0.0
cc.kafuu.bilidownload,5,5,1.0
cf.playhi.freezeyou,5,0,0.0
ch.abertschi.waterme.water_me,5,4,0.8
ch.hgdev.toposuite,5,0,0.0
ch.joshuah.bibleverseapp,5,0,0.0
ch.mydoli.focal,5,0,0.0
cityfreqs.com.pilfershushjammer,5,0,0.0
cl.coders.faketraveler,5,0,0.0
