app_id,n_before_original_pass,n_after_all_pass
InfinityLoop1309.NewPipeEnhanced,3,7
a2dp.Vol,3,3
ac.robinson.mediaphone,3,9
ademar.bitac,2,2
agrigolo.opendrummer,3,3
ai.susi,3,9
anonvpn.anon_next.android,3,7
app.alextran.immich,3,3
app.comaps.fdroid,3,7
app.crescentcash.src,3,3
app.fedilab.castlab,3,7
app.fedilab.mobilizon,3,3
app.fedilab.nitterizeme,3,9
app.fedilab.nitterizemelite,3,9
app.hypostats,3,3
app.ladefuchs.android,3,3
app.michaelwuensch.bitbanana,3,9
app.notesr,3,3
app.organicmaps,3,6
app.pachli,3,3
app.prav.client,3,9
app.tice.TICE.production,3,5
app.tujice.jergasColombia,3,9
app.udderance,3,3
at.linuxtage.Eventfahrplan,3,9
at.manuelbichler.octalsuntime,3,3
at.mikenet.serbianlatintocyrillic,1,5
at.tomtasche.reader,3,3
au.com.wallaceit.reddinator,3,9
barilyuk.batterytemperature,3,9
be.digitalia.fosdem,3,8
be.humanoids.webthingify,1,1
be.mygod.vpnhotspot_foss,3,8
biz.binarysolutions.mindfulnessmeditation,3,6
biz.binarysolutions.stress,3,3
biz.binarysolutions.vatcalculator,3,8
bluepie.ad_silence,3,8
br.odb.knights,3,3
btools.routingapp,3,3
buet.rafi.dictionary,3,3
bus.chio.wishmaster,3,8
ca.andries.portknocker,3,3
ca.chancehorizon.paseo,3,8
ca.farrelltonsolar.classic,3,8
ca.momi.lift,3,3
ca.ramzan.delist,3,3
ca.rmen.android.frenchcalendar,3,8
ca.rmen.android.scrumchatter,3,8
ca.rmen.nounours,3,8
cat.jordihernandez.cinecat,3,8
cc.kafuu.bilidownload,3,3
cf.playhi.freezeyou,3,8
ch.abertschi.waterme.water_me,2,3
ch.bubendorf.locusaddon.gsakdatabase,1,1
ch.hgdev.toposuite,2,7
ch.joshuah.bibleverseapp,3,8
ch.mydoli.focal,3,8
cityfreqs.com.pilfershushjammer,3,8
cl.coders.faketraveler,3,8
