app_id,session_id,export_dir_name,batch,reference_tier_pass,mapped,total,mapped_rate,n_active,n_edges,density,wall_duration_s,gae_eligible
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s1,b77ab89fd70e_llm_s1__original,original,True,388,596,0.6510067114093959,6,16,0.03463203463203463,465.887,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s2,b77ab89fd70e_llm_s2__original,original,True,1329,1724,0.7708816705336426,6,25,0.05411255411255411,457.581,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s3,b77ab89fd70e_llm_s3__original,original,True,360,528,0.6818181818181818,5,14,0.030303030303030304,463.485,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s4,b77ab89fd70e_llm_s4__extend,extend,False,265,398,0.6658291457286433,5,15,0.032467532467532464,221.623,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s5,b77ab89fd70e_llm_s5__extend,extend,False,178,307,0.5798045602605864,5,14,0.030303030303030304,212.905,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s6,b77ab89fd70e_llm_s6__extend,extend,True,656,1027,0.6387536514118792,5,9,0.01948051948051948,469.063,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s7,b77ab89fd70e_llm_s7__extend,extend,True,670,1058,0.6332703213610587,5,9,0.01948051948051948,459.157,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s8,b77ab89fd70e_llm_s8__extend,extend,True,656,1044,0.6283524904214559,5,9,0.01948051948051948,464.169,True
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s9,b77ab89fd70e_llm_s9__extend,extend,True,607,979,0.6200204290091931,5,9,0.01948051948051948,492.628,True
a2dp.Vol,f67ef52502fa_llm_s1,f67ef52502fa_llm_s1__original,original,True,2,174,0.011494252873563218,1,0,0.0,453.626,False
