category,v2_n_apps_fire,v2_frac,androct_benign_n_apps_fire,androct_benign_frac,diff_v2_minus_androct
package_manager,1,0.01694915254237288,1677,0.7516808606006276,-0.7347317080582547
native_code,9,0.15254237288135594,1742,0.7808157776781712,-0.6282734047968153
ipc_intents,18,0.3050847457627119,1517,0.67996414164052,-0.3748793958778081
process,2,0.03389830508474576,789,0.3536530703720305,-0.3197547652872847
crypto,13,0.22033898305084745,1146,0.5136709995517705,-0.2933320165009231
storage,44,0.7457627118644068,1197,0.5365307037203048,0.20923200814410203
device_info,0,0.0,389,0.17436127297176154,-0.17436127297176154
network,12,0.2033898305084746,781,0.3500672344240251,-0.1466774039155505
webview,6,0.1016949152542373,453,0.20304796055580457,-0.10135304530156727
file_io,42,0.711864406779661,1457,0.6530703720304796,0.058794034749181434
database,9,0.15254237288135594,440,0.19722097714029582,-0.04467860425893988
media,0,0.0,74,0.033168982519049754,-0.033168982519049754
audio,2,0.03389830508474576,7,0.0031376064545047063,0.030760698630241057
content_access,3,0.05084745762711865,160,0.07171671896010758,-0.020869261332988928
location,1,0.01694915254237288,72,0.03227252353204841,-0.015323370989675528
notifications,2,0.03389830508474576,42,0.01882563872702824,0.015072666357717524
accounts,0,0.0,28,0.012550425818018825,-0.012550425818018825
camera,1,0.01694915254237288,17,0.00761990138951143,0.009329251152861451
dynamic_code_loading,0,0.0,4,0.0017929179740026895,-0.0017929179740026895
clipboard,0,0.0,1,0.00044822949350067237,-0.00044822949350067237
telephony,0,0.0,1,0.00044822949350067237,-0.00044822949350067237
sms,0,0.0,0,0.0,0.0
