app_id,n_sessions,mapped,total,mapped_rate,n_active,n_edges,density,wall_duration_s
InfinityLoop1309.NewPipeEnhanced,7,4666,6956,0.6707878090856815,6,28,0.06060606060606061,3271.97
a2dp.Vol,3,6,523,0.011472275334608031,1,0,0.0,1391.973
ac.robinson.mediaphone,9,8057,11095,0.7261829652996845,4,10,0.021645021645021644,4063.655
ademar.bitac,2,64,636,0.10062893081761007,2,2,0.004329004329004329,901.999
agrigolo.opendrummer,3,6,227,0.02643171806167401,1,0,0.0,1366.238
ai.susi,9,2578,48068,0.05363235416493301,6,29,0.06277056277056277,4291.131
anonvpn.anon_next.android,7,153,1985,0.07707808564231738,4,12,0.025974025974025976,3246.394
app.alextran.immich,3,39,60,0.65,2,2,0.004329004329004329,1347.953
app.comaps.fdroid,7,1241,4846,0.25608749484110604,5,15,0.032467532467532464,3239.813
app.crescentcash.src,3,18,1703,0.010569583088667059,1,0,0.0,1376.017
app.fedilab.castlab,7,475,46926,0.010122320248902528,4,12,0.025974025974025976,3187.741
app.fedilab.mobilizon,3,381,31322,0.012163974203435285,5,17,0.0367965367965368,1390.256
app.fedilab.nitterizeme,9,1756,76091,0.023077630731623975,2,2,0.004329004329004329,4237.479
app.fedilab.nitterizemelite,9,1818,76749,0.02368760505022867,2,2,0.004329004329004329,4174.8640000000005
app.hypostats,3,6,162,0.037037037037037035,1,0,0.0,1340.383
app.ladefuchs.android,3,320,18708,0.01710498182595681,3,4,0.008658008658008658,1376.471
app.michaelwuensch.bitbanana,9,10867,18013,0.6032865152945095,4,11,0.023809523809523808,4304.0
app.notesr,3,5,2736,0.001827485380116959,1,0,0.0,1412.593
app.organicmaps,6,890,9114,0.09765196401141102,6,20,0.04329004329004329,2726.2799999999997
app.pachli,3,36,1156,0.031141868512110725,1,0,0.0,1388.213
app.prav.client,9,2286,2469,0.9258809234507898,3,6,0.012987012987012988,4175.789
app.tice.TICE.production,5,4024,8901,0.452084035501629,7,27,0.05844155844155844,2266.849
app.tujice.jergasColombia,9,99,102235,0.000968357216217538,3,5,0.010822510822510822,4065.047
app.udderance,3,509,3656,0.13922319474835887,3,5,0.010822510822510822,1353.057
at.linuxtage.Eventfahrplan,9,433,7145,0.06060181945416375,3,6,0.012987012987012988,4190.385
at.manuelbichler.octalsuntime,3,144,279,0.5161290322580645,2,2,0.004329004329004329,1351.8229999999999
at.mikenet.serbianlatintocyrillic,5,177,316,0.560126582278481,2,2,0.004329004329004329,2347.1
at.tomtasche.reader,3,9,108,0.08333333333333333,2,2,0.004329004329004329,1385.1019999999999
au.com.wallaceit.reddinator,9,486,6291,0.07725321888412018,6,20,0.04329004329004329,4088.436
barilyuk.batterytemperature,9,6340,6774,0.935931502804842,4,10,0.021645021645021644,4158.836
be.digitalia.fosdem,8,372,327812,0.0011347967737605701,4,9,0.01948051948051948,3699.945
be.humanoids.webthingify,1,7,21,0.3333333333333333,1,0,0.0,454.162
be.mygod.vpnhotspot_foss,8,13497,17317,0.7794075186233181,4,11,0.023809523809523808,3729.23
biz.binarysolutions.mindfulnessmeditation,6,60,178,0.33707865168539325,3,6,0.012987012987012988,2849.683
biz.binarysolutions.stress,3,12,1205,0.00995850622406639,2,2,0.004329004329004329,1354.723
biz.binarysolutions.vatcalculator,8,80,287,0.2787456445993031,2,2,0.004329004329004329,3688.751
bluepie.ad_silence,8,124,1455,0.0852233676975945,2,2,0.004329004329004329,3762.034
br.odb.knights,3,1164,1570,0.7414012738853503,2,2,0.004329004329004329,1356.932
btools.routingapp,3,211,438,0.4817351598173516,1,0,0.0,1383.71
buet.rafi.dictionary,3,15,39,0.38461538461538464,1,0,0.0,1455.126
bus.chio.wishmaster,8,416,1740,0.23908045977011494,2,2,0.004329004329004329,3663.721
ca.andries.portknocker,3,12,575,0.020869565217391306,1,0,0.0,1388.906
ca.chancehorizon.paseo,8,825,17416,0.047370234267340376,5,18,0.03896103896103896,3671.18
ca.farrelltonsolar.classic,8,1256,1415,0.8876325088339223,3,5,0.010822510822510822,3654.0550000000003
ca.momi.lift,3,18,707,0.02545968882602546,1,0,0.0,1375.5140000000001
ca.ramzan.delist,3,24,463,0.05183585313174946,1,0,0.0,1358.15
ca.rmen.android.frenchcalendar,8,810,1524,0.531496062992126,2,2,0.004329004329004329,3800.312
ca.rmen.android.scrumchatter,8,1414,2164,0.6534195933456562,3,6,0.012987012987012988,3749.754
ca.rmen.nounours,8,4221,4979,0.8477605944968869,2,2,0.004329004329004329,3716.942
cat.jordihernandez.cinecat,8,369,661,0.5582450832072617,2,2,0.004329004329004329,3740.4629999999997
cc.kafuu.bilidownload,3,24,431,0.05568445475638051,3,6,0.012987012987012988,1397.191
cf.playhi.freezeyou,8,2141,3088,0.6933290155440415,4,10,0.021645021645021644,3833.88
ch.abertschi.waterme.water_me,3,31,61,0.5081967213114754,2,2,0.004329004329004329,1426.337
ch.bubendorf.locusaddon.gsakdatabase,1,183,195,0.9384615384615385,1,0,0.0,460.663
ch.hgdev.toposuite,7,1643,14644,0.11219612127833925,2,2,0.004329004329004329,3235.864
ch.joshuah.bibleverseapp,8,607,1000,0.607,2,2,0.004329004329004329,3621.521
ch.mydoli.focal,8,452,1190,0.3798319327731092,2,2,0.004329004329004329,3815.863
cityfreqs.com.pilfershushjammer,8,229,1121,0.20428189116859946,5,11,0.023809523809523808,3742.747
cl.coders.faketraveler,8,4660,13398,0.3478131064337961,4,11,0.023809523809523808,3622.0570000000002
