app_id,n_sessions,prefix_mean_l2,scattered_mean_l2,delta_prefix_minus_scattered,prefix_test_l2,scattered_test_l2
ac.robinson.mediaphone,9,0.04754698376072494,0.07015013385421848,-0.022603150093493535,0.013647;0.081447,0.070604;0.069696
ai.susi,9,2.7486492846495882,0.968964848317975,1.779684436331613,2.744077;2.753221,1.001027;0.936902
app.fedilab.nitterizeme,9,0.006391160401048757,0.004589694338275445,0.0018014660627733116,0.009363;0.003420,0.007290;0.001890
app.fedilab.nitterizemelite,9,0.00523359742621195,0.0033313641755659583,0.0019022332506459915,0.009477;0.000991,0.000360;0.006303
app.michaelwuensch.bitbanana,9,1.2620932546677504,0.5468309421025039,0.7152623125652464,1.248199;1.275988,0.547732;0.545930
app.prav.client,9,0.0,0.0,0.0,0.000000;0.000000,0.000000;0.000000
app.tujice.jergasColombia,9,0.049359214958087455,0.012017872504788018,0.03734134245329944,0.049359;0.049359,0.012018;0.012018
at.linuxtage.Eventfahrplan,9,0.7206150164958653,1.0466248707937262,-0.3260098542978609,0.626475;0.814755,0.283189;1.810061
au.com.wallaceit.reddinator,9,0.9262268253301695,1.3141772667258982,-0.38795044139572865,0.929270;0.923184,0.069666;2.558688
barilyuk.batterytemperature,9,0.06087315680057283,0.07067872454781486,-0.009805567747242033,0.064907;0.056839,0.071451;0.069907
be.digitalia.fosdem,8,0.47142183446151265,0.47611243415256743,-0.0046905996910547865,0.471422;0.471422,0.491706;0.460519
be.mygod.vpnhotspot_foss,8,0.15299593078232157,0.20442575458114984,-0.05142982379882827,0.232367;0.073625,0.319225;0.089626
biz.binarysolutions.vatcalculator,8,0.0,0.0,0.0,0.000000;0.000000,0.000000;0.000000
bluepie.ad_silence,8,0.033275611248927014,0.033275611248927014,0.0,0.036049;0.030503,0.030503;0.036049
bus.chio.wishmaster,8,0.0,0.0,0.0,0.000000;0.000000,0.000000;0.000000
ca.chancehorizon.paseo,8,0.6173014599351584,0.6354358210893044,-0.018134361154146017,0.913886;0.320717,0.351600;0.919271
ca.farrelltonsolar.classic,8,0.03442989106031222,0.04600874933133328,-0.011578858271021064,0.037041;0.031819,0.050309;0.041709
ca.rmen.android.frenchcalendar,8,0.005203031082849928,0.008535756250358057,-0.0033327251675081297,0.003605;0.006801,0.008536;0.008536
ca.rmen.android.scrumchatter,8,0.060406988678856466,0.08493694459496555,-0.024529955916109084,0.043346;0.077468,0.050914;0.118959
ca.rmen.nounours,8,0.03543787804255848,0.027634698117655704,0.007803179924902773,0.034429;0.036447,0.022792;0.032478
cat.jordihernandez.cinecat,8,0.11750685015345975,0.17300314570384354,-0.05549629555038378,0.117507;0.117507,0.049398;0.296608
cf.playhi.freezeyou,8,0.3412609226063613,0.4118804990074724,-0.0706195764011111,0.334609;0.347913,0.219325;0.604436
ch.joshuah.bibleverseapp,8,0.010988820713262397,0.002149968694724375,0.008838852018538021,0.020879;0.001099,0.004045;0.000255
ch.mydoli.focal,8,0.005851918694186764,0.005851918694186764,0.0,0.001124;0.010580,0.001124;0.010580
cityfreqs.com.pilfershushjammer,8,0.8160230581918808,0.2720076860639602,0.5440153721279206,0.000000;1.632046,0.272008;0.272008
cl.coders.faketraveler,8,0.016966410853155273,0.00919328140437418,0.007773129448781094,0.027951;0.005982,0.009193;0.009193
