app_id,gap_s
InfinityLoop1309.NewPipeEnhanced,466.665
InfinityLoop1309.NewPipeEnhanced,458.392
InfinityLoop1309.NewPipeEnhanced,2820260.552
InfinityLoop1309.NewPipeEnhanced,29645.088
InfinityLoop1309.NewPipeEnhanced,18588.734
InfinityLoop1309.NewPipeEnhanced,18287.36
a2dp.Vol,454.44
a2dp.Vol,486.021
ac.robinson.mediaphone,457.24
ac.robinson.mediaphone,459.71
ac.robinson.mediaphone,2780634.055
ac.robinson.mediaphone,17824.125
ac.robinson.mediaphone,17729.681
ac.robinson.mediaphone,29635.93
ac.robinson.mediaphone,18592.937
ac.robinson.mediaphone,18315.795
ademar.bitac,457.225
agrigolo.opendrummer,458.86
agrigolo.opendrummer,458.198
ai.susi,475.404
ai.susi,467.038
ai.susi,2770043.5
ai.susi,2890.592
ai.susi,17822.141
ai.susi,47365.923
ai.susi,18599.167
ai.susi,18322.754
anonvpn.anon_next.android,456.652
anonvpn.anon_next.android,463.654
anonvpn.anon_next.android,2658655.958
anonvpn.anon_next.android,30112.0
anonvpn.anon_next.android,18584.36
anonvpn.anon_next.android,18335.534
app.alextran.immich,449.443
app.alextran.immich,452.042
app.comaps.fdroid,472.846
app.comaps.fdroid,456.662
app.comaps.fdroid,2761333.28
app.comaps.fdroid,17809.218
app.comaps.fdroid,47631.025
app.comaps.fdroid,18579.16
app.crescentcash.src,469.548
app.crescentcash.src,453.848
app.fedilab.castlab,462.88
app.fedilab.castlab,454.659
app.fedilab.castlab,2754008.65
app.fedilab.castlab,34823.693
app.fedilab.castlab,30580.186
app.fedilab.castlab,36913.103
app.fedilab.mobilizon,461.856
app.fedilab.mobilizon,468.763
app.fedilab.nitterizeme,467.766
app.fedilab.nitterizeme,474.697
app.fedilab.nitterizeme,2750700.43
app.fedilab.nitterizeme,17551.62
app.fedilab.nitterizeme,17310.245
app.fedilab.nitterizeme,30548.638
app.fedilab.nitterizeme,18365.269
app.fedilab.nitterizeme,18545.044
app.fedilab.nitterizemelite,464.872
app.fedilab.nitterizemelite,464.007
app.fedilab.nitterizemelite,2749780.31
app.fedilab.nitterizemelite,17553.183
app.fedilab.nitterizemelite,17312.204
app.fedilab.nitterizemelite,30572.075
app.fedilab.nitterizemelite,18337.656
app.fedilab.nitterizemelite,18545.452
app.hypostats,448.769
app.hypostats,447.07
app.ladefuchs.android,451.351
app.ladefuchs.android,470.302
app.michaelwuensch.bitbanana,467.306
app.michaelwuensch.bitbanana,478.513
app.michaelwuensch.bitbanana,2741086.921
app.michaelwuensch.bitbanana,17563.923
app.michaelwuensch.bitbanana,17546.378
app.michaelwuensch.bitbanana,30591.719
app.michaelwuensch.bitbanana,18355.622
app.michaelwuensch.bitbanana,18537.664
app.notesr,488.567
app.notesr,455.352
app.organicmaps,461.561
app.organicmaps,461.886
app.organicmaps,2727523.477
app.organicmaps,7104.245
app.organicmaps,17567.207
app.pachli,468.255
app.pachli,459.814
app.prav.client,469.686
app.prav.client,462.251
app.prav.client,2728853.366
app.prav.client,17564.231
app.prav.client,17081.399
app.prav.client,30824.26
app.prav.client,18381.888
app.prav.client,18497.992
app.tice.TICE.production,459.334
app.tice.TICE.production,454.129
app.tice.TICE.production,2717307.922
app.tice.TICE.production,17560.587
app.tujice.jergasColombia,447.33
app.tujice.jergasColombia,446.637
app.tujice.jergasColombia,2714982.192
app.tujice.jergasColombia,17564.173
app.tujice.jergasColombia,17114.329
app.tujice.jergasColombia,30820.013
app.tujice.jergasColombia,18375.224
app.tujice.jergasColombia,18490.229
app.udderance,450.286
app.udderance,452.856
at.linuxtage.Eventfahrplan,457.563
at.linuxtage.Eventfahrplan,468.119
at.linuxtage.Eventfahrplan,2613343.159
at.linuxtage.Eventfahrplan,17553.14
at.linuxtage.Eventfahrplan,17124.575
