id,section,artifact_path,json_path,expected_value,csv_match_column,csv_match_value,csv_value_column
e2_best_raw,A.6.8,abrg/output/androct_2017/selfref_e2/summary.json,headline.e2_best_raw,0.7124322069,,,
e0_best_raw_from_e2,A.6.8,abrg/output/androct_2017/selfref_e2/summary.json,headline.e0_best_raw,0.6997,,,
e2_best_size_matched,A.6.8,abrg/output/androct_2017/selfref_e2/summary.json,headline.e2_best_size_matched,0.6749773671,,,
e0_best_size_matched_from_e2,A.6.8,abrg/output/androct_2017/selfref_e2/summary.json,headline.e0_best_size_matched,0.6235,,,
e2_shuffle_mean,A.6.8,abrg/output/androct_2017/selfref_e2/summary.json,shuffle_mean_auc_floor,0.5171086254,,,
e0_ceiling_max,A.6.8,abrg/output/androct_2017/selfref/summary.json,ceiling_max,0.9340425532,,,
e0_ceiling_min,A.6.8,abrg/output/androct_2017/selfref/summary.json,ceiling_min,0.9153942428,,,
d1_point_auc_floor,A.6.7,results/cell_a_volume_battery.json,d1_reference.point_auc_floor,0.800426,,,
cell_a_point_auc_floor,A.6.7,results/cell_a_volume_battery.json,cell_a.point_auc_floor,0.7926741761,,,
obs_androct_effective_universe,A.6.7,results/observability_audit_summary.json,androct_effective_universe,18,,,
obs_v2_effective_universe,A.6.7,results/observability_audit_summary.json,v2_effective_universe,15,,,
obs_d1_l2_restricted,A.6.7,results/observability_audit_summary.json,d1_l2_restricted,0.80042136,,,
obs_d2_fisher_floor,A.6.7,results/observability_audit_summary.json,d2_restricted.fisher_floor,0.6730496454,,,
gae_run2_auc_floor,A.6.2,abrg/output/androct_2017/run2/comparison.json,auc.auc_floor,0.5380552059,,,
gae_run3_auc_floor,A.6.2,abrg/output/androct_2017/run3/comparison.json,auc.auc_floor,0.6161451815,,,
gae_run3_5_auc_floor,A.6.2,abrg/output/androct_2017/run3_5/comparison.json,modes.full.models.hist_gradient_boosting.auc.auc_floor,0.9762411348,,,
gae_run4_auc_floor,A.6.2,abrg/output/androct_2017/run4/comparison.json,best_auc_floor,0.6379390905,,,
gae_run8_auc_floor,A.6.2,abrg/output/androct_2017/run8/comparison.json,best_scorer.auc_floor,0.6834251147,,,
gae_arm_a_n1_auc_floor,A.6.2,abrg/output/androct_2017/arm_a_n1/comparison.json,auc_by_aggregation.mean.auc.auc_floor,0.5157259802,,,
gae_arm_b_n8_auc_floor,A.6.2,abrg/output/androct_2017/arm_b_n8/comparison.json,auc_by_aggregation.mean.auc.auc_floor,0.5168368942,,,
gae_run5_best_auc_floor,A.6.2,abrg/output/androct_2017/run5/comparison.json,by_hidden.64.auc.auc_floor,0.6379390905,,,
d3_factorial_A,A.6.7,results/D3_factorial_2x2.csv,,0.7926741761,cell,A,auc_floor
d3_factorial_B,A.6.7,results/D3_factorial_2x2.csv,,0.7768919483,cell,B,auc_floor
d3_factorial_C,A.6.7,results/D3_factorial_2x2.csv,,0.7616687526,cell,C,auc_floor
d3_factorial_D,A.6.7,results/D3_factorial_2x2.csv,,0.8004255319,cell,D,auc_floor
