experiment,module,representation,method,detector,split,seed,raw_auc,auc_floor,direction,ci_low,ci_high,ci_type,clears_size_floor,clears_ocpool,is_headline,is_superseded,artifact_path,summary_path,trace_flag
ocdev,ocdev,D1_trained_t22,benign_only,centroid_euclidean,splitA_GAE,42,0.8004255319148936,0.8004255319148936,malware_higher_score,0.7527881727158947,0.8471770963704632,score_bootstrap,True,True,False,False,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D1__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev_validate,ocdev_validate,D1_trained_t22,benign_only,centroid_euclidean_nested_form,splitA_GAE,42,0.8004255319148936,0.8004255319148936,malware_higher_score,0.7572241343345848,0.8154397163120567,nested_bootstrap,True,True,True,False,abrg/output/androct_2017/ocdev/validation/check1_bias/bias_stats.json,abrg/output/androct_2017/ocdev/validation/SUMMARY.md,
validation,validate,T1K_B_docfreq_K1000_pool_mean,benign_only,OCPool_mean_raw,splitA_GAE,42,0.776499791405924,0.776499791405924,malware_higher_score,0.727348560700876,0.8214867542761785,score_bootstrap,True,True,True,False,abrg/output/androct_2017/validation/check1_residualization/check1_summary.json,abrg/output/androct_2017/validation/SUMMARY.md,
validation,validate,T1K_B_docfreq_K1000_pool_mean,benign_only,OCPool_mean_R2,splitA_GAE,42,0.7543763037129746,0.7543763037129746,malware_higher_score,0.7018994576554026,0.8013274926992074,score_bootstrap,True,False,True,False,abrg/output/androct_2017/validation/check1_residualization/check1_summary.json,abrg/output/androct_2017/validation/SUMMARY.md,
ocdev,ocdev,T1K_B_docfreq,benign_only,S1_norm,splitA_GAE,42,0.8226011681268252,0.8226011681268252,malware_higher_score,0.7786041927409261,0.8656608781810596,score_bootstrap,True,True,False,True,abrg/output/androct_2017/ocdev/partB_support/scores__T1K_B_docfreq.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev_validate,ocdev_validate,T1K_B_docfreq,benign_only,S1_norm_nested_bootstrap_mean,splitA_GAE,42,0.786686472674176,0.786686472674176,malware_higher_score,0.7552745619524406,0.817514705882353,nested_bootstrap,True,True,True,False,abrg/output/androct_2017/ocdev/validation/check1_bias/bias_stats.json,abrg/output/androct_2017/ocdev/validation/SUMMARY.md,
devread,devread,D3_trained_t22,supervised,HGB,splitA_stratified,42,0.961410095953275,0.961410095953275,malware_higher_score,0.9460779098873592,0.9750949103045473,score_bootstrap,True,True,True,False,abrg/output/androct_2017/devread/splitA/classifiers/trained__D3__HGB__splitA__seed42.joblib,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D3_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.9623779724655821,0.9623779724655821,malware_higher_score,,,none,True,True,True,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
ladder,ladder,T22_full,supervised,HGB,splitA_stratified,42,0.976241134751773,0.976241134751773,malware_higher_score,0.9642245515227368,0.985857843137255,score_bootstrap,True,True,True,False,abrg/output/androct_2017/ladder/rung1/rung1.json,abrg/output/androct_2017/ladder/SUMMARY.md,
run3,androct,n_mapped,trivial_floor,mapped_event_count,splitA_GAE,42,0.7025135586149354,0.7025135586149354,malware_higher_score,0.643375208594076,0.7545253441802252,score_bootstrap,True,False,True,False,abrg/output/androct_2017/run3/floors.json,abrg/output/androct_2017/run3/SUMMARY.md,
ladder,ladder,T22_full,supervised_group_holdout,HGB_mean_auc_floor,splitB_ward30,42,0.8491852043853224,0.8491852043853224,mixed_see_check1,0.8347235989431232,0.8618832325128633,per_fold_std,True,True,False,True,abrg/output/androct_2017/ladder/rung2/behavioral_group_holdout.json,abrg/output/androct_2017/ladder/SUMMARY.md,
ladder,ladder,T22_full,supervised_group_holdout,HGB_weighted_mean_auc_floor,splitB_ward30,42,0.860595279982225,0.860595279982225,mixed_see_check1,,,none,True,True,False,True,abrg/output/androct_2017/ladder/rung2/behavioral_group_holdout.json,abrg/output/androct_2017/ladder/SUMMARY.md,
ladder,ladder,T22_full,supervised_group_holdout,HGB_pooled_oof_raw,splitB_ward30,42,0.8488607982199972,0.8488607982199972,malware_higher_score,0.8347235989431232,0.8618832325128633,score_bootstrap,True,True,True,False,abrg/output/androct_2017/ladder/rung2/behavioral_group_holdout.json,abrg/output/androct_2017/ladder/SUMMARY.md,
ladder,ladder,T22_full,supervised_group_holdout,HGB_mean_raw_auc,splitB_ward30,42,0.8373648734160551,0.8491852043853224,mixed_see_check1,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/ladder/rung2/behavioral_group_holdout.json,abrg/output/androct_2017/ladder/SUMMARY.md,
ladder,ladder,T22_full,supervised_random_group_holdout,HGB_pooled_oof_raw,random_group_matched_sizes,42,0.971309275483243,0.971309275483243,malware_higher_score,0.9659291162564316,0.9766469301905158,score_bootstrap,True,True,True,False,abrg/output/androct_2017/ladder/control/random_group_holdout.json,abrg/output/androct_2017/ladder/SUMMARY.md,
ladder,ladder,T22_full,supervised_random_group_holdout,HGB_mean_auc_floor,random_group_matched_sizes,42,0.9864212197666841,0.9864212197666841,see_check1,,,per_fold_std,True,True,False,True,abrg/output/androct_2017/ladder/control/random_group_holdout.json,abrg/output/androct_2017/ladder/SUMMARY.md,
final_validate,final_validate,D1_trained_t22,benign_group_holdout_refit_reference,centroid_euclidean,leave_one_benign_cluster_out,42,0.7888852836508269,0.7888852836508269,malware_higher_score,0.7642118589072641,0.8139994347917102,score_bootstrap,True,True,True,False,abrg/output/androct_2017/final_validation/check4_benign_holdout/check4.json,abrg/output/androct_2017/final_validation/SUMMARY.md,
final_validate,final_validate,D1_trained_t22,benign_group_holdout_refit_reference,mahalanobis,leave_one_benign_cluster_out,42,0.24237115344358384,0.7576288465564162,benign_higher_score,0.2273360006280092,0.2569158048984719,score_bootstrap,True,False,False,False,abrg/output/androct_2017/final_validation/check4_benign_holdout/check4.json,abrg/output/androct_2017/final_validation/SUMMARY.md,
validation,validate,T1K_B_docfreq_K1000_pool_mean,benign_only,OCPool_mean_R1_ols_fit_eval,splitA_GAE,42,0.814084272006675,0.814084272006675,malware_higher_score,0.7713707759699625,0.8513582603254067,score_bootstrap,True,True,False,True,abrg/output/androct_2017/validation/check1_residualization/check1_summary.json,abrg/output/androct_2017/validation/SUMMARY.md,
ocdev_validate,ocdev_validate,D4_trained_t22,benign_only_group_holdout,mahalanobis_weighted_mean_auc_floor,splitB_ward30,42,0.8083436644468281,0.8083436644468281,see_per_fold,,,none,True,True,False,True,abrg/output/androct_2017/ocdev/validation/check3_splitB/check3.json,abrg/output/androct_2017/ocdev/validation/SUMMARY.md,
ocdev_validate,ocdev_validate,D4_trained_t22,benign_only_group_holdout,mahalanobis_pooled_oof,splitB_ward30,42,0.5178431372549019,0.5178431372549019,malware_higher_score,0.5019171186204978,0.5348433736615215,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check3_splitB/check3.json,abrg/output/androct_2017/ocdev/validation/SUMMARY.md,
invgraph,invgraph,V2_invocation,trained,gae_recon,splitA_GAE,42-46,0.6386524822695037,0.6386524822695037,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/invgraph/SUMMARY.md,
invgraph,invgraph,V2_invocation,untrained,gae_recon,splitA_GAE,42-46,0.6288277012932832,0.6288277012932832,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/invgraph/SUMMARY.md,
run8,androct,T22_gae_h8,trained,gae_embedding_centroid_mean,splitA_GAE,42,0.6690613266583229,0.6690613266583229,malware_higher_score,,,none,False,False,False,False,abrg/output/androct_2017/run8/comparison.json,abrg/output/androct_2017/run8/SUMMARY.md,
run8,androct,T22_gae_h8,untrained,gae_embedding_centroid_mean,splitA_GAE,42,0.7591197329995828,0.7591197329995828,malware_higher_score,,,none,True,False,False,False,abrg/output/androct_2017/run8/comparison.json,abrg/output/androct_2017/run8/SUMMARY.md,
ocgin,ocgin,T22,trained,OCGIN_plus,splitA_GAE,42-46,0.5660421360033375,0.5660421360033375,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/ocgin/SUMMARY.md,
ocgin,ocgin,T22,untrained,OCGIN_plus,splitA_GAE,42-46,0.6538039215686274,0.6538039215686274,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/ocgin/SUMMARY.md,
glocalkd,glocalkd,T22_pool_mean,trained,s_graph_full,splitA_GAE,42-46,0.5593725490196078,0.5593725490196078,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/glocalkd/SUMMARY.md,
glocalkd,glocalkd,T22_pool_mean,untrained,s_graph_full,splitA_GAE,42-46,0.6650337922403003,0.6650337922403003,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/glocalkd/SUMMARY.md,
ocgtl,ocgtl,T1K,trained,ocgtl_K4,splitA_GAE,42-46,0.5503362536503963,0.5503362536503963,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/ocdev/validation/check2_randominit/check2.json,abrg/output/androct_2017/ocgtl/SUMMARY.md,
