representation,method,split,detector,auc_floor,ci_type,artifact_path
T1K,graph_kernel,splitA_GAE,WL_h3_ocsvm_precomputed,0.6725823946599917,none,abrg/output/androct_2017/kernels/detectors/grid_rows.json
T1K,graph_kernel_ablation,splitA_GAE,WL_structure_only_features_constant,0.6268418856904464,none,abrg/output/androct_2017/kernels/ablation/winner_ablation.json
T1K,graph_kernel_ablation,splitA_GAE,WL_edges_removed,0.5,none,abrg/output/androct_2017/kernels/ablation/winner_ablation.json
T22_mean,M1_full,splitA_stratified,GIN_mean_seeds,0.8837505214851898,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_mean,M2_no_edges,splitA_stratified,GIN_mean_seeds,0.8999624530663329,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_mean,M3_const_feats,splitA_stratified,GIN_mean_seeds,0.5902565707133918,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_add,M1_full,splitA_stratified,GIN_mean_seeds,0.8690070921985816,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_add,M2_no_edges,splitA_stratified,GIN_mean_seeds,0.8975177304964539,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_add,M3_const_feats,splitA_stratified,GIN_mean_seeds,0.5788902795160618,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_max,M1_full,splitA_stratified,GIN_mean_seeds,0.8765123070504798,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_max,M2_no_edges,splitA_stratified,GIN_mean_seeds,0.8886441385064664,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_max,M3_const_feats,splitA_stratified,GIN_mean_seeds,0.678840216937839,per_fold_std,abrg/output/androct_2017/supgnn/splitA/splitA_results.json
T22_mean,M1_full,splitB_ward30,GIN_weighted_mean_auc_floor,0.7903532271361647,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_mean,M1_full,splitB_ward30,GIN_pooled_oof,0.7616633291614519,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_mean,M2_no_edges,splitB_ward30,GIN_weighted_mean_auc_floor,0.8053693504010251,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_mean,M2_no_edges,splitB_ward30,GIN_pooled_oof,0.7842760394938116,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_mean,M3_const_feats,splitB_ward30,GIN_weighted_mean_auc_floor,0.7433104939138332,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_mean,M3_const_feats,splitB_ward30,GIN_pooled_oof,0.6047909887359199,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_add,M1_full,splitB_ward30,GIN_weighted_mean_auc_floor,0.7774124956513043,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_add,M1_full,splitB_ward30,GIN_pooled_oof,0.6771649283827006,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_add,M2_no_edges,splitB_ward30,GIN_weighted_mean_auc_floor,0.7807531445203559,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_add,M2_no_edges,splitB_ward30,GIN_pooled_oof,0.8027869559171188,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_add,M3_const_feats,splitB_ward30,GIN_weighted_mean_auc_floor,0.771239893190875,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_add,M3_const_feats,splitB_ward30,GIN_pooled_oof,0.5862873731052705,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_max,M1_full,splitB_ward30,GIN_weighted_mean_auc_floor,0.7717990626011424,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_max,M1_full,splitB_ward30,GIN_pooled_oof,0.7413030176609651,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_max,M2_no_edges,splitB_ward30,GIN_weighted_mean_auc_floor,0.7577753285168531,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_max,M2_no_edges,splitB_ward30,GIN_pooled_oof,0.7783510638297872,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_max,M3_const_feats,splitB_ward30,GIN_weighted_mean_auc_floor,0.6349243513145737,per_fold_std,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
T22_max,M3_const_feats,splitB_ward30,GIN_pooled_oof,0.5015237101932971,none,abrg/output/androct_2017/supgnn/splitB/splitB_results.json
