representation,method,detector,split,auc_floor,direction,artifact_path
D1_trained_t22,benign_only,centroid_euclidean,splitA_GAE,0.8004255319148936,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D1__none__centroid_euclidean__splitA__foldNA.json
D3_trained_t22,supervised,HGB,splitA_stratified,0.961410095953275,malware_higher_score,abrg/output/androct_2017/devread/splitA/classifiers/trained__D3__HGB__splitA__seed42.joblib
D3_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,0.9623779724655821,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D0_trained_t22,benign_only,centroid_euclidean,splitA_GAE,0.7616687526074258,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D0__none__centroid_euclidean__splitA__foldNA.json
D2_trained_t22,benign_only,centroid_euclidean,splitA_GAE,0.5512682519816438,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D2__none__centroid_euclidean__splitA__foldNA.json
D3_trained_t22,benign_only,centroid_euclidean,splitA_GAE,0.5894993742177722,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D3__none__centroid_euclidean__splitA__foldNA.json
D4_trained_t22,benign_only,centroid_euclidean,splitA_GAE,0.7445974134334584,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D4__none__centroid_euclidean__splitA__foldNA.json
D5_trained_t22,benign_only,centroid_euclidean,splitA_GAE,0.7022069253233207,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D5__none__centroid_euclidean__splitA__foldNA.json
D0_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,0.7616687526074258,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json
D1_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,0.5088902795160618,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json
D2_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,0.5721068001668752,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json
D3_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,0.5394910304547351,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json
D4_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,0.5178431372549019,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json
D5_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,0.5677722152690863,malware_higher_score,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json
RAW_full,raw_input_control,centroid_euclidean,splitA_GAE,0.7768919482686691,malware_higher_score,abrg/output/androct_2017/ocdev/controls/raw_tensor/raw__RAW_full__none__centroid_euclidean__splitA__foldNA.json
D0_trained_t22,supervised,HGB,splitA_stratified,0.7939820609094702,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D0_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,0.7910200250312891,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D1_trained_t22,supervised,HGB,splitA_stratified,0.950584063412599,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D1_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,0.9492574050896956,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D2_trained_t22,supervised,HGB,splitA_stratified,0.9591364205256571,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D2_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,0.959415936587401,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D4_trained_t22,supervised,HGB,splitA_stratified,0.9589278264497287,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D4_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,0.959290780141844,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D5_trained_t22,supervised,HGB,splitA_stratified,0.9563621193158115,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
D5_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,0.9586566541510221,malware_higher_score,abrg/output/androct_2017/devread/splitA/results_trained.json
