rank,class_prefix,count
1,java.lang,440
2,com.crashlytics,243
3,android.support,236
4,com.google,172
5,android.view,107
6,org.w3c,96
7,java.util,82
8,com.facebook,54
9,android.content,43
10,com.a,39
11,java.io,35
12,android.graphics,31
13,org.apache,30
14,org.xmlpull,24
15,android.text,20
16,com.b,17
17,com.startapp,17
18,android.util,16
19,org.json,15
20,com.squareup,13
21,android.widget,11
22,com.c,11
23,java.nio,10
24,a.a,10
25,android.os,10
26,com.fasterxml,9
27,com.bumptech,9
28,org.jsoup,6
29,com.cmcm,6
30,android.app,5
31,dagger.internal,4
32,com.handmark,4
33,com.topringtones2017,3
34,com.urbandroid,3
35,android.database,3
36,com.mcpeskins,3
37,com.nineoldandroids,3
38,com.mineworld,2
39,com.masabi,2
40,thai.mal,2
41,com.example,2
42,com.trentapps,2
43,com.alibaba,2
44,com.activeandroid,2
45,com.pixlr,2
46,epic.mychart,2
47,com.seattleclouds,2
48,nl.siegmann,2
49,ch.boye,2
50,kr,2
