label,path,substring_hits,fail_stage,final,class_name,method_name,raw_set,line
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkOperatorName,device_info,<com.facebook.ads.internal.dto.f: void c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getNetworkOperatorName()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkOperatorName,device_info,<com.facebook.ads.internal.dto.f: void c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getNetworkOperatorName()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkType,device_info,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
benign,benign2017/01B19F88E500A7A777875530BF256E42E3C6AD63007064AE6C98CBA8B0492C4F.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getSimOperator,device_info,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>
benign,benign2017/0BDF4C1713809C579AA6056A0EA82848D09464649DAD4327EC8C8C8DF343EA5C.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkOperatorName,device_info,<com.avos.avoscloud.AnalyticsUtils: java.util.Map getNetworkInfo(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getNetworkOperatorName()>
benign,benign2017/0BDF4C1713809C579AA6056A0EA82848D09464649DAD4327EC8C8C8DF343EA5C.apk.logcat,android.telephony,,device_info,android.telephony.TelephonyManager,getNetworkOperatorName,device_info,<com.avos.avoscloud.AnalyticsUtils: java.util.Map getNetworkInfo(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getNetworkOperatorName()>
