substring,raw_line_count,n_apps,example_1,example_2,example_3,example_4,example_5
SmsManager,8,2,"<com.anprosit.android.dagger.AndroidModule$$ModuleAdapter: void getBindings(dagger.internal.BindingsGroup,com.anprosit.android.dagger.AndroidModule)> -> <com.anprosit.android.dagger.AndroidModule$$ModuleAdapter$ProvideSmsManagerProvidesAdapter: void <init>(com.anprosit.android.dagger.AndroidModule)>","<com.anprosit.android.dagger.AndroidModule$$ModuleAdapter: void getBindings(dagger.internal.BindingsGroup,com.anprosit.android.dagger.AndroidModule)> -> <com.anprosit.android.dagger.AndroidModule$$ModuleAdapter$ProvideSmsManagerProvidesAdapter: void <init>(com.anprosit.android.dagger.AndroidModule)>","<com.anprosit.android.dagger.AndroidModule$$ModuleAdapter: void getBindings(dagger.internal.BindingsGroup,com.anprosit.android.dagger.AndroidModule)> -> <com.anprosit.android.dagger.AndroidModule$$ModuleAdapter$ProvideSmsManagerProvidesAdapter: void <init>(com.anprosit.android.dagger.AndroidModule)>","<com.anprosit.android.dagger.AndroidModule$$ModuleAdapter: void getBindings(dagger.internal.BindingsGroup,com.anprosit.android.dagger.AndroidModule)> -> <com.anprosit.android.dagger.AndroidModule$$ModuleAdapter$ProvideSmsManagerProvidesAdapter: void <init>(com.anprosit.android.dagger.AndroidModule)>","<com.anprosit.android.dagger.AndroidModule$$ModuleAdapter: void getBindings(dagger.internal.BindingsGroup,com.anprosit.android.dagger.AndroidModule)> -> <com.anprosit.android.dagger.AndroidModule$$ModuleAdapter$ProvideSmsManagerProvidesAdapter: void <init>(com.anprosit.android.dagger.AndroidModule)>"
android.telephony,9150,415,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>,<org.interlaken.common.b.m: java.lang.String c(android.content.Context)> -> <android.telephony.TelephonyManager: java.lang.String getSimOperator()>,<org.interlaken.common.net.d: byte c(android.content.Context)> -> <android.telephony.TelephonyManager: int getNetworkType()>
sendTextMessage,0,0,,,,,
sendMultipartTextMessage,0,0,,,,,
SmsMessage,0,0,,,,,
DexClassLoader,93,4,"<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <dalvik.system.DexClassLoader: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.ClassLoader)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: java.lang.Object a(dalvik.system.BaseDexClassLoader)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: java.lang.Object a(dalvik.system.BaseDexClassLoader)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: void a(dalvik.system.BaseDexClassLoader,java.lang.Object)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <dalvik.system.DexClassLoader: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.ClassLoader)>"
PathClassLoader,4,1,"<amazon.android.dexload.SupplementalDexLoader: void updateICSClassLoader(android.content.Context,boolean,java.util.List)> -> <amazon.android.dexload.SupplementalDexLoader: dalvik.system.PathClassLoader getClassLoader(android.content.Context)>","<amazon.android.dexload.SupplementalDexLoader: void updateICSClassLoader(android.content.Context,boolean,java.util.List)> -> <amazon.android.dexload.SupplementalDexLoader: dalvik.system.PathClassLoader getClassLoader(android.content.Context)>","<amazon.android.dexload.SupplementalDexLoader: void updateICSClassLoader(android.content.Context,boolean,java.util.List)> -> <amazon.android.dexload.SupplementalDexLoader: dalvik.system.PathClassLoader getClassLoader(android.content.Context)>","<amazon.android.dexload.SupplementalDexLoader: void updateICSClassLoader(android.content.Context,boolean,java.util.List)> -> <amazon.android.dexload.SupplementalDexLoader: dalvik.system.PathClassLoader getClassLoader(android.content.Context)>",
BaseDexClassLoader,66,2,"<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: java.lang.Object a(dalvik.system.BaseDexClassLoader)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: java.lang.Object a(dalvik.system.BaseDexClassLoader)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: void a(dalvik.system.BaseDexClassLoader,java.lang.Object)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: java.lang.Object a(dalvik.system.BaseDexClassLoader)>","<com.appodeal.ads.utils.i: void c(android.content.Context,java.lang.String)> -> <com.appodeal.ads.utils.i: java.lang.Object a(dalvik.system.BaseDexClassLoader)>"
InMemoryDexClassLoader,0,0,,,,,
System.load,0,0,,,,,
System.loadLibrary,0,0,,,,,
Runtime.exec,0,0,,,,,
