rank,callee_class,count
1,java.security.MessageDigest,2228943
2,javax.crypto.Cipher,136107
3,java.security.Provider,18239
4,java.security.cert.CertificateFactory,7400
5,java.security.cert.X509Certificate,3628
6,java.security.KeyPairGenerator,622
7,java.security.KeyStore,493
8,java.security.Signature,468
9,java.security.KeyPair,438
10,java.security.Key,428
11,java.security.KeyFactory,360
12,javax.crypto.KeyGenerator,328
13,java.security.SecureRandom,271
14,javax.crypto.spec.SecretKeySpec,269
15,javax.crypto.SecretKeyFactory,198
16,java.security.cert.Certificate,142
17,javax.crypto.Mac,121
18,java.security.Provider$Service,28
19,java.security.Security,26
20,java.security.AccessController,9
21,java.security.interfaces.RSAKey,2
