rank,caller_class,count
1,com.startapp.android.publish.i.x,1570494
2,com.facebook.ads.internal.util.s,484563
3,com.startapp.android.publish.j.x,99570
4,com.google.android.gms.internal.zzar,54128
5,com.google.android.gms.internal.zzaq,30357
6,com.google.android.gms.internal.zzo,21665
7,com.google.android.gms.ads.internal.util.client.zza,13381
8,com.google.android.gms.measurement.internal.zzn,10204
9,com.keyja.b.c.a,8643
10,io.fabric.sdk.android.services.common.CommonUtils,4249
11,com.baidu.crabsdk.b.d,4097
12,com.google.android.gms.internal.um,3233
13,com.google.android.gms.internal.zzir,3210
14,com.google.android.gms.internal.ah,2916
15,com.google.android.gms.internal.zzho,2657
16,com.google.android.gms.internal.zzpx,2461
17,com.google.android.gms.internal.zzpi,2395
18,com.google.android.gms.internal.____,2025
19,com.google.android.gms.internal.zzhw,1952
20,com.google.android.gms.internal.ur,1878
21,com.google.android.gms.measurement.internal.zzal,1858
22,com.google.android.gms.internal.zzid,1848
23,com.domobile.c.b,1721
24,com.google.code.microlog4android.repository.MicrologRepositoryNode,1716
25,com.google.android.gms.internal.nc,1599
26,com.google.android.gms.internal.zzka,1584
27,com.google.android.gms.b.in,1581
28,com.google.android.gms.internal.rb,1536
29,com.google.android.gms.internal.zzhu,1528
30,com.google.android.gms.measurement.internal.zzm,1388
