rank,caller_class,count
1,com.activeandroid.ModelInfo,74953
2,com.hmobile.biblekjv.DataBaseHelper,66043
3,android.support.multidex.MultiDexExtractor,32592
4,com.masabi.metro.client.MetroClientActivity,20145
5,com.seattleclouds.b.d,19461
6,com.crashlytics.android.core.CrashlyticsUncaughtExceptionHandler,10129
7,com.appaapps.past2.VocabularyActivity,8576
8,com.guoyu.tangshicn.db.DBHelper,7971
9,com.appaapps.funfair3.VocabularyActivity,7416
10,de.xroot.burgerking.data.BKDataImporter,7262
11,org.apache.cordova.file.FileUtils,6008
12,com.crashlytics.android.core.ClsFileOutputStream,4869
13,com.ducaller.db.ai,4709
14,android.support.multidex.MultiDex,3506
15,com.fxnetworks.fxnow.data.DatabaseManager,3400
16,org.apache.commons.io.b,3300
17,com.google.android.gms.common.util.zzx,3168
18,com.startapp.android.publish.i.r,3099
19,com.ducaller.db.b,3091
20,com.startapp.android.publish.video.a,2820
21,com.google.android.gms.internal.zzjw,2538
22,com.google.firebase.iid.zzg,2520
23,com.startapp.android.publish.i.k,2296
24,com.startapp.android.publish.h.p,1971
25,com.masabi.app.android.services.m,1939
26,com.pixlr.utilities.y,1921
27,com.google.android.gms.common.util.zzw,1827
28,com.android.camera.k,1754
29,com.seattleclouds.b.f,1736
30,com.appodeal.ads.utils.g,1661
