rank,caller_class,count
1,com.startapp.android.publish.i.x,24120
2,com.facebook.GraphRequest,16899
3,okhttp3.CipherSuite,16839
4,com.startapp.android.publish.i.p,7371
5,com.startapp.android.publish.i.b,5584
6,com.startapp.android.publish.j.w,4907
7,com.startapp.android.publish.h.b,4428
8,org.interlaken.a.b,4155
9,okhttp3.HttpUrl,3991
10,com.onesignal.OneSignalRestClient,3414
11,com.facebook.GraphResponse,3411
12,com.seattleclouds.util.a,2386
13,com.nostra13.universalimageloader.core.download.BaseImageDownloader,2210
14,com.facebook.internal.Utility,2101
15,com.google.android.gms.internal.zzhd,1797
16,com.squareup.picasso.UrlConnectionDownloader,1760
17,com.google.android.gms.internal.zzir,1692
18,com.seattleclouds.b.f,1624
19,com.startapp.android.publish.j.o,1589
20,com.startapp.android.publish.j.x,1564
21,com.startapp.android.publish.j.b,1393
22,net.dean.jraw.util.JrawUtils,1320
23,com.crashlytics.android.core.CodedOutputStream,1273
24,com.appsflyer.b,1137
25,com.amazon.device.ads.HttpURLConnectionWebRequest,1136
26,com.startapp.android.publish.j.h,1089
27,com.calldorado.android.service.CalldoradoCommunicationService,994
28,com.startapp.android.publish.i.h,987
29,ch.boye.httpclientandroidlib.client.utils.URIBuilder,952
30,okhttp3.internal.http.HttpEngine,952
