rank,path,drop_rate,n_dropped,n_nonblank,n_events
1,benign2017/com.iabuzz.Puzzle4KidsTools.apk.logcat,1.0,146,146,0
2,benign2017/com.mapquest.android.ace.apk.logcat,1.0,98,98,0
3,benign2017/com.bbt.myfi.apk.logcat,1.0,58,58,0
4,benign2017/com.meetingplay.con17.apk.logcat,1.0,57,57,0
5,benign2017/8DC59AF71C86765549C3A23B8A172FFFB43E1B6226F9C1AF6BD5DD8831F5F08E.apk.logcat,1.0,50,50,0
6,benign2017/com.iart.chromecastapps.apk.logcat,1.0,32,32,0
7,benign2017/no.mobitroll.kahoot.android.apk.logcat,1.0,2,2,0
8,benign2017/mbinc12.mb32b.apk.logcat,1.0,2,2,0
9,benign2017/com.peacock.flashlight.apk.logcat,1.0,2,2,0
10,benign2017/com.mxtech.ffmpeg.v7_vfpv3d16.apk.logcat,1.0,2,2,0
11,benign2017/com.mxtech.ffmpeg.v7_neon.apk.logcat,1.0,2,2,0
12,benign2017/com.mxtech.ffmpeg.v6_vfp.apk.logcat,1.0,2,2,0
13,benign2017/com.microsoft.rdc.android.apk.logcat,1.0,2,2,0
14,benign2017/com.innovapps.maquillajeparahombres.apk.logcat,1.0,2,2,0
15,benign2017/com.google.android.apps.pdfviewer.apk.logcat,1.0,2,2,0
16,benign2017/com.creepycat.fireblue.fire_blue.apk.logcat,1.0,2,2,0
17,benign2017/com.cam001.selfie.apk.logcat,1.0,2,2,0
18,benign2017/com.aws.android.tsunami.apk.logcat,1.0,2,2,0
19,benign2017/FDC5401D6FCB3389B9AE1EA0517E59107ABF7B04D7103101A3248089F76FEF6F.apk.logcat,1.0,2,2,0
20,benign2017/F8030D5721B9DEE4392E5DAF25187E6CE39CE1E74985ED1936D0CC29B1C31D43.apk.logcat,1.0,2,2,0
