relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
440,storage,SharedPreferences.getString,"{""key"": ""app_Theme""}"
468,file_io,AssetManager.open,"{""path"": ""themes/5000/nounours.properties""}"
471,file_io,AssetManager.open,"{""path"": ""themes/5000/image.csv""}"
477,file_io,AssetManager.open,"{""path"": ""themes/5000/feature.csv""}"
477,file_io,AssetManager.open,"{""path"": ""themes/5000/imagefeatureassoc.csv""}"
479,file_io,AssetManager.open,"{""path"": ""themes/5000/adjacentimage.csv""}"
482,file_io,AssetManager.open,"{""path"": ""themes/5000/animation.csv""}"
483,storage,SharedPreferences.getString,"{""key"": ""app_IdleTimeout2""}"
484,file_io,AssetManager.open,"{""path"": ""themes/5000/flinganimation.csv""}"
485,file_io,AssetManager.open,"{""path"": ""themes/5000/sound.csv""}"
489,file_io,AssetManager.open,"{""path"": ""themes/5000/onhead_sm.jpg""}"
489,file_io,AssetManager.open,"{""path"": ""themes/5000/lieright_sm.jpg""}"
490,file_io,AssetManager.open,"{""path"": ""themes/5000/rotate730_sm.jpg""}"
493,file_io,AssetManager.open,"{""path"": ""themes/5000/slightright_sm.jpg""}"
496,file_io,AssetManager.open,"{""path"": ""themes/5000/headdown1_sm.jpg""}"
498,file_io,AssetManager.open,"{""path"": ""themes/5000/leftfwd_sm.jpg""}"
500,file_io,AssetManager.open,"{""path"": ""themes/5000/bothup_float_sm.jpg""}"
502,file_io,AssetManager.open,"{""path"": ""themes/5000/bothfwd_sm.jpg""}"
504,file_io,AssetManager.open,"{""path"": ""themes/5000/rotate130_sm.jpg""}"
507,file_io,AssetManager.open,"{""path"": ""themes/5000/rotate430_sm.jpg""}"
508,file_io,AssetManager.open,"{""path"": ""themes/5000/rotate1200_sm.jpg""}"
512,file_io,AssetManager.open,"{""path"": ""themes/5000/lefthandup_sm.jpg""}"
514,storage,SharedPreferences.getString,"{""key"": ""app_IdleTimeout2""}"
515,file_io,AssetManager.open,"{""path"": ""themes/5000/righthandup_sm.jpg""}"
518,file_io,AssetManager.open,"{""path"": ""themes/5000/clap_sm.jpg""}"
521,file_io,AssetManager.open,"{""path"": ""themes/5000/headdown3_sm.jpg""}"
522,file_io,AssetManager.open,"{""path"": ""themes/5000/sleep2_sm.jpg""}"
523,file_io,AssetManager.open,"{""path"": ""themes/5000/headdown2_sm.jpg""}"
526,file_io,AssetManager.open,"{""path"": ""themes/5000/sleep1_sm.jpg""}"
530,storage,SharedPreferences.getString,"{""key"": ""app_Theme""}"
541,file_io,AssetManager.open,"{""path"": ""themes/5000/rotate300_sm.jpg""}"
