relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
303,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
328,crypto,MessageDigest.digest,{}
346,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setClick""}"
443,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
450,crypto,MessageDigest.digest,{}
462,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setStartShouldSetResponder""}"
476,file_io,File.delete,"{""path"": ""/data/user/0/app.ladefuchs.android/cache/http-cache/167d487a351b7fe42e67203f5e08841a.0""}"
484,file_io,File.delete,"{""path"": ""/data/user/0/app.ladefuchs.android/cache/http-cache/167d487a351b7fe42e67203f5e08841a.1""}"
486,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setResponderGrant""}"
495,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setResponderTerminationRequest""}"
504,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setResponderRelease""}"
514,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setResponderMove""}"
525,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setViewState""}"
533,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setResponderTerminate""}"
541,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setTransform""}"
551,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setOpacity""}"
559,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setOpacity""}"
569,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setTransform""}"
577,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setTransform""}"
584,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setOpacity""}"
594,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setTransform""}"
603,reflection,Method.invoke,"{""class"": ""com.facebook.react.uimanager.BaseViewManager"", ""method"": ""setOpacity""}"
621,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageLoadEvent"", ""method"": ""getCacheType""}"
630,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageLoadEvent"", ""method"": ""getSource""}"
638,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageSource"", ""method"": ""getHeight""}"
647,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageSource"", ""method"": ""isAnimated""}"
656,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageSource"", ""method"": ""getMediaType""}"
661,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageSource"", ""method"": ""getUrl""}"
669,reflection,Method.invoke,"{""class"": ""expo.modules.image.records.ImageSource"", ""method"": ""getWidth""}"
