relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
368,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
368,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
369,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
371,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
372,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
372,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3972,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3973,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3981,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3981,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4016,native_code,System.loadLibrary,"{""library"": ""NdkGlue""}"
10385,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
12017,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
12026,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12038,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
12048,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12056,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
12066,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
14851,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
14855,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
14877,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
14886,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
17921,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
17936,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
17949,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
17961,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
17971,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
17983,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
