relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
389,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
429,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
457,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
462,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
473,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19186,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19188,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
19189,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19191,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
31596,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
31600,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
31607,storage,SharedPreferences.putString,"{""key"": ""bible_version""}"
31625,storage,SharedPreferences.getInt,"{""key"": ""widget_color""}"
31628,storage,SharedPreferences.apply,{}
31696,storage,SharedPreferences.getString,"{""key"": ""notification_hour""}"
31703,storage,SharedPreferences.getString,"{""key"": ""notification_minute""}"
31737,file_io,File.delete,"{""path"": ""/data/user/0/ch.joshuah.bibleverseapp/shared_prefs/ch.joshuah.bibleverseapp_preferences.xml.bak""}"
35181,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
35201,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
35221,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
35229,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
47634,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
47634,storage,SharedPreferences.getString,"{""key"": ""bible_version""}"
47635,storage,SharedPreferences.getInt,"{""key"": ""widget_color""}"
47650,storage,SharedPreferences.getString,"{""key"": ""notification_hour""}"
