relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
318,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
411,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.FeatureFlagHolderBoundaryInterface"", ""method"": ""getSupportedFeatures""}"
420,webview,WebView.loadUrl,"{""url"": ""https://appassets.androidplatform.net/assets/pages/aac.html""}"
525,file_io,AssetManager.open,"{""path"": ""pages/aac.html""}"
844,file_io,AssetManager.open,"{""path"": ""assets/css/fira.css""}"
854,file_io,AssetManager.open,"{""path"": ""assets/js/aac_language_map_merged.js""}"
859,file_io,AssetManager.open,"{""path"": ""assets/js/aac_boards.js""}"
860,file_io,AssetManager.open,"{""path"": ""assets/js/aac.js""}"
861,file_io,AssetManager.open,"{""path"": ""assets/js/aac_pictogram_map.js""}"
868,file_io,AssetManager.open,"{""path"": ""assets/css/mini-divested.min.css""}"
974,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
1038,file_io,AssetManager.open,"{""path"": ""assets/fonts/fira-sans-v11-latin-regular.woff2""}"
1045,file_io,AssetManager.open,"{""path"": ""assets/fonts/fira-sans-v11-latin-700.woff2""}"
1107,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.WebViewClientBoundaryInterface"", ""method"": ""onPageCommitVisible""}"
1312,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.WebViewClientBoundaryInterface"", ""method"": ""onReceivedError""}"
1320,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
1353,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
1367,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
1592,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2446,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2457,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2487,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2499,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2621,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2629,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
2771,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
3785,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
3797,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
3809,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
3938,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
3959,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
4310,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
4326,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
4338,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
4352,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
5296,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
5322,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
5337,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
5883,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
6898,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
6922,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
6940,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
7036,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
7118,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
7143,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
7266,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
7669,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
8613,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
9306,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.FeatureFlagHolderBoundaryInterface"", ""method"": ""getSupportedFeatures""}"
9309,webview,WebView.loadUrl,"{""url"": ""https://appassets.androidplatform.net/assets/pages/aac.html""}"
9375,file_io,AssetManager.open,"{""path"": ""pages/aac.html""}"
9637,file_io,AssetManager.open,"{""path"": ""assets/css/fira.css""}"
9639,file_io,AssetManager.open,"{""path"": ""assets/css/mini-divested.min.css""}"
9639,file_io,AssetManager.open,"{""path"": ""assets/js/aac_boards.js""}"
9643,file_io,AssetManager.open,"{""path"": ""assets/js/aac_language_map_merged.js""}"
9653,file_io,AssetManager.open,"{""path"": ""assets/js/aac.js""}"
9657,file_io,AssetManager.open,"{""path"": ""assets/js/aac_pictogram_map.js""}"
9675,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
9825,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
9838,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
9843,file_io,AssetManager.open,"{""path"": ""assets/fonts/fira-sans-v11-latin-regular.woff2""}"
9856,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.WebViewClientBoundaryInterface"", ""method"": ""onPageCommitVisible""}"
9858,file_io,AssetManager.open,"{""path"": ""assets/fonts/fira-sans-v11-latin-700.woff2""}"
9897,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
9912,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
10199,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.WebViewClientBoundaryInterface"", ""method"": ""onReceivedError""}"
10208,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
10233,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
10292,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
10302,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
10636,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11260,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11270,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11287,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11677,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11691,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11816,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
11985,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
12041,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
12053,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
12069,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
12088,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
12152,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
12188,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
13138,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
13154,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
13171,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
13740,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
14744,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
14754,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
14770,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
14935,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
14959,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
15160,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
15491,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
16399,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17010,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17027,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.FeatureFlagHolderBoundaryInterface"", ""method"": ""getSupportedFeatures""}"
17027,webview,WebView.loadUrl,"{""url"": ""https://appassets.androidplatform.net/assets/pages/aac.html""}"
17103,file_io,AssetManager.open,"{""path"": ""pages/aac.html""}"
17840,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17873,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17880,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17881,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17883,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
17887,file_io,AssetManager.open,"{""path"": ""assets/css/fira.css""}"
17888,file_io,AssetManager.open,"{""path"": ""assets/css/mini-divested.min.css""}"
17902,file_io,AssetManager.open,"{""path"": ""assets/js/aac_language_map_merged.js""}"
17906,file_io,AssetManager.open,"{""path"": ""assets/js/aac.js""}"
17906,file_io,AssetManager.open,"{""path"": ""assets/js/aac_pictogram_map.js""}"
17911,file_io,AssetManager.open,"{""path"": ""assets/js/aac_boards.js""}"
17982,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
18000,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
18001,reflection,Method.invoke,"{""class"": ""org.chromium.support_lib_boundary.WebViewClientBoundaryInterface"", ""method"": ""onPageCommitVisible""}"
18002,reflection,Method.invoke,"{""class"": ""android.os.Trace"", ""method"": ""isTagEnabled""}"
