relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
411,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
420,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/cinemes.xml""}"
466,storage,SharedPreferences.putString,"{""key"": ""data_cinemes""}"
2599,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/cinemes.xml""}"
2611,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/provacin.xml""}"
2616,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/cicles.xml""}"
2624,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/film_sessions.xml""}"
5051,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
5057,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
13017,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
13026,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
18571,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
18579,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
24137,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
24139,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
29720,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
29722,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
35303,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
35310,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
40853,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
40861,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
46436,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
46439,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
52028,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
52029,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
57582,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
57592,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
63169,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
63178,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
68770,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
68777,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
74311,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
74312,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
79936,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
79943,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
85521,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
85527,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
91111,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
91112,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
96714,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
96723,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
102303,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
102311,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
107898,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
107908,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
113487,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
113488,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
119068,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
119077,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
124682,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
124691,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
130300,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
130308,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
135900,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
135908,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
141473,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
141479,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
147076,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
147083,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
172914,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
172919,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/cinemes.xml""}"
172973,storage,SharedPreferences.putString,"{""key"": ""data_cinemes""}"
175115,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/cinemes.xml""}"
175131,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/provacin.xml""}"
175136,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/cicles.xml""}"
175144,network,URL.openConnection,"{""url"": ""http://gencat.cat/llengua/cinema/film_sessions.xml""}"
182009,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""goToCicles""}"
229024,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
241312,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""goToCinemes""}"
288393,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
302402,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
302408,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
328227,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""goToCinemes""}"
362537,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
379721,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""InfCineCat""}"
379727,storage,SharedPreferences.getString,"{""key"": ""data_cinemes""}"
416969,reflection,Method.invoke,"{""class"": ""cat.jordihernandez.cinecat.MainActivity"", ""method"": ""goToCinemes""}"
438428,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
