relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
3407,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
8042,storage,SharedPreferences.getString,"{""key"": ""protocol""}"
8049,storage,SharedPreferences.putString,"{""key"": ""protocol""}"
8088,storage,SharedPreferences.getString,"{""key"": ""brokerHost""}"
8092,storage,SharedPreferences.putString,"{""key"": ""brokerHost""}"
8099,storage,SharedPreferences.getString,"{""key"": ""mqttPort""}"
8105,storage,SharedPreferences.putString,"{""key"": ""mqttPort""}"
8112,storage,SharedPreferences.apply,{}
8118,storage,SharedPreferences.apply,{}
8120,storage,SharedPreferences.getString,"{""key"": ""APIKey""}"
8125,storage,SharedPreferences.putString,"{""key"": ""APIKey""}"
8131,storage,SharedPreferences.apply,{}
8134,storage,SharedPreferences.getString,"{""key"": ""protocol""}"
8141,storage,SharedPreferences.putString,"{""key"": ""protocol""}"
8147,storage,SharedPreferences.apply,{}
8150,storage,SharedPreferences.getString,"{""key"": ""mqttUser""}"
8156,storage,SharedPreferences.putString,"{""key"": ""mqttUser""}"
8159,storage,SharedPreferences.apply,{}
8161,storage,SharedPreferences.getString,"{""key"": ""mqttPassword""}"
8166,storage,SharedPreferences.putString,"{""key"": ""mqttPassword""}"
8172,storage,SharedPreferences.apply,{}
8175,storage,SharedPreferences.getString,"{""key"": ""mqttRootTopic""}"
8181,storage,SharedPreferences.putString,"{""key"": ""mqttRootTopic""}"
8184,storage,SharedPreferences.apply,{}
8209,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
8222,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
8245,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
8250,file_io,File.delete,"{""path"": ""/data/user/0/ca.farrelltonsolar.classic/shared_prefs/ca.farrelltonsolar.classic_preferences.xml.bak""}"
8266,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
8270,file_io,File.delete,"{""path"": ""/data/user/0/ca.farrelltonsolar.classic/shared_prefs/ca.farrelltonsolar.classic_preferences.xml.bak""}"
12124,reflection,Method.invoke,"{""class"": ""ca.farrelltonsolar.classic.CONNECTION_TYPE"", ""method"": ""values""}"
12139,reflection,Method.invoke,"{""class"": ""ca.farrelltonsolar.classic.DeviceType"", ""method"": ""values""}"
12153,storage,SharedPreferences.putString,"{""key"": ""devices""}"
12160,file_io,File.delete,"{""path"": ""/data/user/0/ca.farrelltonsolar.classic/shared_prefs/ca.farrelltonsolar.classic300_complexPreferences.xml.bak""}"
15582,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 1, ""target"": ""ca.farrelltonsolar.classic/ca.farrelltonsolar.classic.ModbusService""}"
