relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
446,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
457,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
464,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
470,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
479,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
488,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
496,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
505,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
514,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4179,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4223,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4231,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7199,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7206,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7231,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7246,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7313,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
7365,storage,SharedPreferences.apply,{}
7491,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 128, ""target"": ""anonvpn.anon_next.android/anonvpn.anon_next.android.AndroidVpnService""}"
7528,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7545,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7560,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7576,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7591,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7610,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10407,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10414,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10445,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13243,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13251,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13263,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13271,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13305,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13319,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13325,storage,SharedPreferences.getString,"{""key"": ""PrimaryInfoService.Host""}"
13331,storage,SharedPreferences.getInt,"{""key"": ""PrimaryInfoService.Port""}"
13495,network,Socket.connect,"{""endpoint"": ""/141.76.46.139:80""}"
16362,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16369,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16395,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16412,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19191,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
19197,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19212,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
19223,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
22031,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
22038,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
22055,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
22062,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24878,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24885,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24901,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24918,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27719,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27720,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27735,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27736,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31704,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31705,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31718,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31719,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34517,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34517,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34532,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34533,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38482,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38482,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38498,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38499,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
41312,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
41313,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
41316,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
41316,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
