relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
482,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
487,storage,SharedPreferences.getString,"{""key"": ""set_nitter_host""}"
494,storage,SharedPreferences.getString,"{""key"": ""set_invidious_host""}"
497,storage,SharedPreferences.getString,"{""key"": ""set_bibliogram_host""}"
499,storage,SharedPreferences.getString,"{""key"": ""set_teddit_host""}"
501,storage,SharedPreferences.getString,"{""key"": ""set_scriberip_host""}"
507,storage,SharedPreferences.getString,"{""key"": ""set_wikiless_host""}"
511,storage,SharedPreferences.getString,"{""key"": ""set_osm_host""}"
513,storage,SharedPreferences.getString,"{""key"": ""set_proxitok_host""}"
519,storage,SharedPreferences.getString,"{""key"": ""set_nitter_host""}"
525,storage,SharedPreferences.getString,"{""key"": ""set_invidious_host""}"
528,storage,SharedPreferences.getString,"{""key"": ""set_bibliogram_host""}"
530,storage,SharedPreferences.getString,"{""key"": ""set_teddit_host""}"
532,storage,SharedPreferences.getString,"{""key"": ""set_scriberip_host""}"
534,storage,SharedPreferences.getString,"{""key"": ""set_wikiless_host""}"
538,storage,SharedPreferences.getString,"{""key"": ""set_proxitok_host""}"
557,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
563,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
568,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
579,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
584,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
595,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
600,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
607,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
614,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3944,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3950,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4038,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4070,storage,SharedPreferences.getString,"{""key"": ""invidious_dark_mode""}"
4076,storage,SharedPreferences.getString,"{""key"": ""invidious_dark_mode""}"
4082,storage,SharedPreferences.putString,"{""key"": ""invidious_dark_mode""}"
4096,storage,SharedPreferences.getString,"{""key"": ""invidious_thin_mode""}"
4102,storage,SharedPreferences.getString,"{""key"": ""invidious_thin_mode""}"
4109,storage,SharedPreferences.putString,"{""key"": ""invidious_thin_mode""}"
4114,storage,SharedPreferences.getString,"{""key"": ""invidious_language_mode""}"
4120,storage,SharedPreferences.getString,"{""key"": ""invidious_language_mode""}"
4124,storage,SharedPreferences.putString,"{""key"": ""invidious_language_mode""}"
4130,storage,SharedPreferences.getString,"{""key"": ""invidious_annotations_mode""}"
4134,storage,SharedPreferences.getString,"{""key"": ""invidious_annotations_mode""}"
4141,storage,SharedPreferences.putString,"{""key"": ""invidious_annotations_mode""}"
