relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
336,storage,SharedPreferences.getInt,"{""key"": ""settings_ver""}"
340,storage,SharedPreferences.getString,"{""key"": ""lockScreenTimeoutPref""}"
344,crypto,Cipher.doFinal,"{""inputLength"": 16}"
346,crypto,Cipher.doFinal,"{""inputLength"": 16}"
350,crypto,Cipher.doFinal,"{""inputLength"": 16}"
352,crypto,Cipher.doFinal,"{""inputLength"": 16}"
356,crypto,SecretKeySpec.<init>,"{""algorithm"": ""AES""}"
363,crypto,Cipher.doFinal,"{""inputLength"": 8}"
365,crypto,Cipher.doFinal,"{""inputLength"": 16}"
367,crypto,Cipher.doFinal,"{""inputLength"": 16}"
369,crypto,Cipher.doFinal,"{""inputLength"": 16}"
372,crypto,Cipher.doFinal,"{""inputLength"": 16}"
379,crypto,SecretKeySpec.<init>,"{""algorithm"": ""AES""}"
381,crypto,Cipher.doFinal,"{""inputLength"": 13}"
459,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
483,reflection,Method.invoke,"{""class"": ""app.michaelwuensch.bitbanana.home.HomeActivity"", ""method"": ""onMoveToForeground""}"
486,storage,SharedPreferences.getString,"{""key"": ""lockScreenTimeoutPref""}"
490,crypto,Cipher.doFinal,"{""inputLength"": 16}"
494,crypto,Cipher.doFinal,"{""inputLength"": 16}"
496,crypto,Cipher.doFinal,"{""inputLength"": 16}"
500,crypto,Cipher.doFinal,"{""inputLength"": 16}"
503,crypto,SecretKeySpec.<init>,"{""algorithm"": ""AES""}"
505,crypto,Cipher.doFinal,"{""inputLength"": 8}"
510,crypto,Cipher.doFinal,"{""inputLength"": 16}"
513,crypto,Cipher.doFinal,"{""inputLength"": 16}"
515,crypto,Cipher.doFinal,"{""inputLength"": 16}"
517,crypto,Cipher.doFinal,"{""inputLength"": 16}"
520,crypto,SecretKeySpec.<init>,"{""algorithm"": ""AES""}"
523,crypto,Cipher.doFinal,"{""inputLength"": 13}"
554,storage,SharedPreferences.getString,"{""key"": ""current_wallet_config""}"
592,storage,SharedPreferences.getString,"{""key"": ""hideBalanceType""}"
600,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
605,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
615,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
619,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
630,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
635,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
643,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
652,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
662,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
667,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
695,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
700,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
706,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
714,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
729,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
734,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
742,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
751,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
764,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
772,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
782,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
787,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
797,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
802,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
812,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
817,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
833,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
838,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
848,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
853,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
864,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
869,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
877,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
883,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
894,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
900,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
906,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
915,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
920,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
930,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
935,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
945,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
952,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
964,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
969,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
979,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
987,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
996,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
1008,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
1014,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1019,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
1029,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1037,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
1045,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1050,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
1056,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1100,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1102,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1105,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1110,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1113,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1116,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1120,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1122,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1130,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1133,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1135,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1139,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1146,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
1154,storage,SharedPreferences.getString,"{""key"": ""current_wallet_config""}"
1181,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1186,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1193,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1201,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
1212,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1218,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1222,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
1229,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
3982,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3988,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4112,storage,SharedPreferences.getInt,"{""key"": ""currentCurrencyIndex""}"
4138,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4182,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4197,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4212,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4227,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4251,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4319,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4329,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4347,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4354,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4415,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4430,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7263,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7264,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7265,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7267,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
7268,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7269,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7269,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7270,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
7281,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
7283,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7284,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
7285,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7321,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7322,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7340,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7342,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7396,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7397,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7399,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7402,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
7404,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7406,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7406,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7407,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
7410,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
7420,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7421,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
7423,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
7454,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7455,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7472,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7483,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
10353,reflection,Method.invoke,"{""class"": ""net.yslibrary.android.keyboardvisibilityevent.KeyboardVisibilityEvent$setEventListener$1"", ""method"": ""onDestroy""}"
10390,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
10390,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
10391,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
10391,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
10391,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
10392,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
10392,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
10392,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setScaleY""}"
10393,reflection,Method.invoke,"{""class"": ""androidx.constraintlayout.utils.widget.ImageFilterView"", ""method"": ""setRoundPercent""}"
10393,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""setAlpha""}"
