relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
346,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_CUT_POSTS""}"
349,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_DOWNLOAD_THUMBS1""}"
352,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_THEME""}"
355,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_THEME""}"
358,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_FONT_SIZE""}"
361,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_AUTOHIDE_JSON""}"
368,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_POST_THUMBNAIL_SCALE""}"
371,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_CUT_POSTS""}"
373,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_DOWNLOAD_THUMBS1""}"
376,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_AUTOHIDE_JSON""}"
3926,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3933,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4038,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4054,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
6806,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
6813,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
6896,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
6908,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
9641,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
9647,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
9741,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
9759,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12563,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
12570,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12663,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
12709,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
15397,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
15404,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
15481,database,SQLiteDatabase.execSQL,"{""sql"": ""create table hiddenitems (_id integer primary key autoincrement,chan text,board text,thread text,post text);""}"
15505,database,SQLiteDatabase.execSQL,"{""sql"": ""create table history (_id integer primary key autoincrement,chan text,board text,boardpage text,thread text,title text,url text,date integer);""}"
15511,database,SQLiteDatabase.execSQL,"{""sql"": ""create table favorites (_id integer primary key autoincrement,chan text,board text,boardpage text,thread text,title text,url text);""}"
15521,database,SQLiteDatabase.execSQL,"{""sql"": ""create table saved (_id integer primary key autoincrement,chan text,title text,filepath text);""}"
15574,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
15590,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18505,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_CUT_POSTS""}"
18509,storage,SharedPreferences.getString,"{""key"": ""PREF_KEY_DOWNLOAD_THUMBS1""}"
