relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
329,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
365,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
399,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
404,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
411,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
416,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
421,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
426,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
433,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
440,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
446,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
450,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3893,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3898,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3922,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3931,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3975,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
3983,reflection,Method.invoke,"{""class"": ""app.notesr.activity.security.AuthActivity$Mode"", ""method"": ""values""}"
4000,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4004,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4013,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4017,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4022,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4031,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4036,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4040,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4045,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4049,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4053,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4057,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4063,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4068,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4072,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4082,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4088,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4100,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4108,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4119,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
