relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
278,storage,SharedPreferences.getString,"{""key"": ""limit""}"
278,storage,SharedPreferences.getString,"{""key"": ""limit""}"
279,storage,SharedPreferences.getString,"{""key"": ""radius""}"
279,storage,SharedPreferences.getString,"{""key"": ""radius""}"
280,storage,SharedPreferences.getString,"{""key"": ""nick""}"
280,storage,SharedPreferences.getString,"{""key"": ""nick""}"
282,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
282,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
295,storage,SharedPreferences.apply,{}
295,storage,SharedPreferences.getString,"{""key"": ""db""}"
296,storage,SharedPreferences.getString,"{""key"": ""db2""}"
296,storage,SharedPreferences.getString,"{""key"": ""db3""}"
298,storage,SharedPreferences.getString,"{""key"": ""db""}"
298,storage,SharedPreferences.getString,"{""key"": ""db2""}"
298,storage,SharedPreferences.getString,"{""key"": ""db3""}"
3871,storage,SharedPreferences.getString,"{""key"": ""limit""}"
3871,storage,SharedPreferences.getString,"{""key"": ""limit""}"
3872,storage,SharedPreferences.getString,"{""key"": ""radius""}"
3872,storage,SharedPreferences.getString,"{""key"": ""radius""}"
3872,storage,SharedPreferences.getString,"{""key"": ""nick""}"
3872,storage,SharedPreferences.getString,"{""key"": ""nick""}"
3873,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
3873,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
3875,storage,SharedPreferences.getString,"{""key"": ""db""}"
3875,storage,SharedPreferences.getString,"{""key"": ""db2""}"
3875,storage,SharedPreferences.getString,"{""key"": ""db3""}"
57366,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
58896,storage,SharedPreferences.getString,"{""key"": ""limit""}"
58910,storage,SharedPreferences.getString,"{""key"": ""limit""}"
58913,storage,SharedPreferences.getString,"{""key"": ""radius""}"
58918,storage,SharedPreferences.getString,"{""key"": ""radius""}"
58928,storage,SharedPreferences.getString,"{""key"": ""nick""}"
58933,storage,SharedPreferences.getString,"{""key"": ""nick""}"
58946,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
58951,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
58973,storage,SharedPreferences.getString,"{""key"": ""db""}"
58976,storage,SharedPreferences.getString,"{""key"": ""db2""}"
58979,storage,SharedPreferences.getString,"{""key"": ""db3""}"
108532,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
110064,storage,SharedPreferences.getString,"{""key"": ""limit""}"
110072,storage,SharedPreferences.getString,"{""key"": ""limit""}"
110075,storage,SharedPreferences.getString,"{""key"": ""radius""}"
110080,storage,SharedPreferences.getString,"{""key"": ""radius""}"
110089,storage,SharedPreferences.getString,"{""key"": ""nick""}"
110093,storage,SharedPreferences.getString,"{""key"": ""nick""}"
110097,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
110108,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
110125,storage,SharedPreferences.getString,"{""key"": ""db""}"
110129,storage,SharedPreferences.getString,"{""key"": ""db2""}"
110135,storage,SharedPreferences.getString,"{""key"": ""db3""}"
159735,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
161248,storage,SharedPreferences.getString,"{""key"": ""limit""}"
161256,storage,SharedPreferences.getString,"{""key"": ""limit""}"
161260,storage,SharedPreferences.getString,"{""key"": ""radius""}"
161264,storage,SharedPreferences.getString,"{""key"": ""radius""}"
161271,storage,SharedPreferences.getString,"{""key"": ""nick""}"
161275,storage,SharedPreferences.getString,"{""key"": ""nick""}"
161279,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
161289,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
161308,storage,SharedPreferences.getString,"{""key"": ""db""}"
161312,storage,SharedPreferences.getString,"{""key"": ""db2""}"
161315,storage,SharedPreferences.getString,"{""key"": ""db3""}"
197195,storage,SharedPreferences.getString,"{""key"": ""limit""}"
197195,storage,SharedPreferences.getString,"{""key"": ""limit""}"
197196,storage,SharedPreferences.getString,"{""key"": ""radius""}"
197196,storage,SharedPreferences.getString,"{""key"": ""radius""}"
197197,storage,SharedPreferences.getString,"{""key"": ""nick""}"
197197,storage,SharedPreferences.getString,"{""key"": ""nick""}"
197199,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
197199,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
197200,storage,SharedPreferences.apply,{}
197201,storage,SharedPreferences.getString,"{""key"": ""db""}"
197201,storage,SharedPreferences.getString,"{""key"": ""db2""}"
197201,storage,SharedPreferences.getString,"{""key"": ""db3""}"
197204,storage,SharedPreferences.getString,"{""key"": ""db""}"
197204,storage,SharedPreferences.getString,"{""key"": ""db2""}"
197204,storage,SharedPreferences.getString,"{""key"": ""db3""}"
211401,storage,SharedPreferences.getString,"{""key"": ""limit""}"
211402,storage,SharedPreferences.getString,"{""key"": ""limit""}"
211402,storage,SharedPreferences.getString,"{""key"": ""radius""}"
211402,storage,SharedPreferences.getString,"{""key"": ""radius""}"
211403,storage,SharedPreferences.getString,"{""key"": ""nick""}"
211403,storage,SharedPreferences.getString,"{""key"": ""nick""}"
211404,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
211406,storage,SharedPreferences.getString,"{""key"": ""logs_count""}"
211408,storage,SharedPreferences.getString,"{""key"": ""db""}"
211408,storage,SharedPreferences.getString,"{""key"": ""db2""}"
211409,storage,SharedPreferences.getString,"{""key"": ""db3""}"
213540,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
217603,storage,SharedPreferences.getString,"{""key"": ""db""}"
217607,storage,SharedPreferences.getString,"{""key"": ""db2""}"
217610,storage,SharedPreferences.getString,"{""key"": ""db3""}"
217614,storage,SharedPreferences.getString,"{""key"": ""db""}"
217620,storage,SharedPreferences.getString,"{""key"": ""db2""}"
217623,storage,SharedPreferences.getString,"{""key"": ""db3""}"
220584,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
224378,storage,SharedPreferences.getString,"{""key"": ""db""}"
224378,storage,SharedPreferences.getString,"{""key"": ""db2""}"
224378,storage,SharedPreferences.getString,"{""key"": ""db3""}"
224379,storage,SharedPreferences.getString,"{""key"": ""db""}"
224379,storage,SharedPreferences.getString,"{""key"": ""db2""}"
224379,storage,SharedPreferences.getString,"{""key"": ""db3""}"
227292,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
