relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
362,storage,SharedPreferences.getString,"{""key"": ""theme""}"
417,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
660,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
670,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
681,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
688,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3923,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3924,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3933,storage,SharedPreferences.getString,"{""key"": ""theme""}"
3954,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4008,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4009,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4011,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4011,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4013,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4013,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13078,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13089,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13107,storage,SharedPreferences.getString,"{""key"": ""theme""}"
13196,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
13307,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13314,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13341,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13348,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13356,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13363,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16370,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16379,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16410,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
16586,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16596,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25179,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
25186,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25212,storage,SharedPreferences.getString,"{""key"": ""theme""}"
25269,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
25374,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
25374,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25378,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
25379,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25379,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
25379,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31250,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31258,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31276,storage,SharedPreferences.getString,"{""key"": ""theme""}"
31321,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31331,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31380,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
31501,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31508,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31521,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31533,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
37379,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
37380,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
37387,storage,SharedPreferences.getString,"{""key"": ""theme""}"
37395,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
37395,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
37412,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
37463,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
37465,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
37473,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
37473,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
43314,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
43320,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
43341,storage,SharedPreferences.getString,"{""key"": ""theme""}"
43413,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
43536,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
43542,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
43560,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
43574,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
43588,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
43595,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
49405,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
49414,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
49432,storage,SharedPreferences.getString,"{""key"": ""theme""}"
49546,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
49644,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
49662,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
49678,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
49685,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
49692,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
49701,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
55522,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
55524,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
55534,storage,SharedPreferences.getString,"{""key"": ""theme""}"
55545,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
