relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
421,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
469,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 1, ""target"": ""at.tomtasche.reader/at.tomtasche.reader.background.LoaderService""}"
509,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
521,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
530,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
543,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
559,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
593,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
603,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
54510,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
57505,file_io,File.delete,"{""path"": ""/data/user/0/at.tomtasche.reader/files/profileInstalled""}"
111991,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
169520,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
173791,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
173800,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 1, ""target"": ""at.tomtasche.reader/at.tomtasche.reader.background.LoaderService""}"
173813,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
173813,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
173824,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
173830,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
173830,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
173884,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
173885,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
224441,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
234117,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
234156,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
234224,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
258561,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
282963,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
308553,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
329569,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
329604,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
329636,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
350728,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
396883,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
406840,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
