relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
386,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
500,storage,SharedPreferences.apply,{}
566,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
3402,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3413,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3421,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3430,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3437,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3442,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3450,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3457,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3465,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3474,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4710,network,URL.openConnection,"{""url"": ""https://cdn-us-1.comaps.app/servers""}"
4838,network,Socket.connect,"{""endpoint"": ""cdn-us-1.comaps.app/69.163.178.199:443""}"
5189,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5197,crypto,MessageDigest.digest,{}
5201,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5204,crypto,MessageDigest.digest,{}
5210,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5221,crypto,MessageDigest.digest,{}
5224,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5228,crypto,MessageDigest.digest,{}
5232,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5241,crypto,MessageDigest.digest,{}
5246,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5250,crypto,MessageDigest.digest,{}
5255,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5260,crypto,MessageDigest.digest,{}
5265,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
5268,crypto,MessageDigest.digest,{}
5280,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5283,crypto,MessageDigest.digest,{}
5287,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5291,crypto,MessageDigest.digest,{}
5296,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5301,crypto,MessageDigest.digest,{}
5304,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5309,crypto,MessageDigest.digest,{}
5313,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5317,crypto,MessageDigest.digest,{}
5321,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5324,crypto,MessageDigest.digest,{}
5328,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5332,crypto,MessageDigest.digest,{}
5340,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5344,crypto,MessageDigest.digest,{}
5349,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5352,crypto,MessageDigest.digest,{}
5355,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5360,crypto,MessageDigest.digest,{}
5364,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5368,crypto,MessageDigest.digest,{}
5372,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5377,crypto,MessageDigest.digest,{}
5599,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
5619,network,Socket.connect,"{""endpoint"": ""mapgen-fi-1.comaps.app/135.181.140.32:443""}"
5777,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5786,crypto,MessageDigest.digest,{}
5795,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5803,crypto,MessageDigest.digest,{}
5816,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5823,crypto,MessageDigest.digest,{}
5837,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5844,crypto,MessageDigest.digest,{}
5849,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5853,crypto,MessageDigest.digest,{}
5860,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5865,crypto,MessageDigest.digest,{}
5869,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
5871,crypto,MessageDigest.digest,{}
5876,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5879,crypto,MessageDigest.digest,{}
5884,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5888,crypto,MessageDigest.digest,{}
5893,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5897,crypto,MessageDigest.digest,{}
5901,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5904,crypto,MessageDigest.digest,{}
5909,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5914,crypto,MessageDigest.digest,{}
5918,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5924,crypto,MessageDigest.digest,{}
5929,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
5932,crypto,MessageDigest.digest,{}
6464,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
6769,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
7067,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
7372,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
7663,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
8000,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
8284,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
8578,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/WorldCoasts.mwm""}"
8716,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
9034,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
9330,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
9641,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
9926,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
10244,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
10532,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
10858,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
11145,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
11461,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
11754,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
12043,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
12355,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
12662,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
12955,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
13251,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
13549,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
13868,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
14154,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
14457,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
14750,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
15065,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
15364,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
15652,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
15947,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
16264,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
16573,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
16934,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
17213,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
17495,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
17793,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
18123,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
18431,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
18733,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
19048,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
19381,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
19697,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
19982,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
20269,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
20600,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
20924,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
21215,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
21508,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
21842,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
22139,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
22417,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
22720,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
23048,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
23347,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
23621,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
23902,network,URL.openConnection,"{""url"": ""https://mapgen-fi-1.comaps.app/maps/2026.04.05/260421/World.mwm""}"
24176,network,URL.openConnection,"{""url"": ""https://cdn-us-1.comaps.app/servers""}"
24194,network,Socket.connect,"{""endpoint"": ""cdn-us-1.comaps.app/69.163.178.199:443""}"
27119,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
27228,storage,SharedPreferences.getString,"{""key"": ""LeftButton""}"
27346,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27357,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27371,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27414,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27427,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27452,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27461,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27471,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27485,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27497,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27504,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27511,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27517,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27524,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27531,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27546,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27552,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27559,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27565,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27571,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27579,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
27588,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
