relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
340,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
450,storage,SharedPreferences.apply,{}
502,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
3168,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3173,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3180,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3185,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3194,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3198,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3203,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3207,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4436,network,Socket.connect,"{""endpoint"": ""meta.omaps.app/2606:4700:20::681a:d3c:443""}"
4502,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4511,crypto,MessageDigest.digest,{}
4515,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4519,crypto,MessageDigest.digest,{}
4522,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4529,crypto,MessageDigest.digest,{}
4532,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4536,crypto,MessageDigest.digest,{}
4539,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4545,crypto,MessageDigest.digest,{}
4549,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4553,crypto,MessageDigest.digest,{}
4556,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4563,crypto,MessageDigest.digest,{}
4566,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA-256""}"
4570,crypto,MessageDigest.digest,{}
4586,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4590,crypto,MessageDigest.digest,{}
4596,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4602,crypto,MessageDigest.digest,{}
4605,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4611,crypto,MessageDigest.digest,{}
4615,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4619,crypto,MessageDigest.digest,{}
4623,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4628,crypto,MessageDigest.digest,{}
4637,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4639,crypto,MessageDigest.digest,{}
4646,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4649,crypto,MessageDigest.digest,{}
4653,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4657,crypto,MessageDigest.digest,{}
4663,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4667,crypto,MessageDigest.digest,{}
4813,network,Socket.connect,"{""endpoint"": ""cdn-us1.organicmaps.app/2606:4700:20::681a:936:443""}"
4863,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4866,crypto,MessageDigest.digest,{}
4870,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4873,crypto,MessageDigest.digest,{}
4877,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4879,crypto,MessageDigest.digest,{}
