relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
262,storage,SharedPreferences.apply,{}
287,storage,SharedPreferences.apply,{}
293,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/narratives"", ""uri_type"": ""other""}"
295,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/narratives"", ""uri_type"": ""other""}"
301,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/templates"", ""uri_type"": ""other""}"
302,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/templates"", ""uri_type"": ""other""}"
306,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
307,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
311,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media"", ""uri_type"": ""other""}"
312,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media"", ""uri_type"": ""other""}"
314,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media_links"", ""uri_type"": ""other""}"
316,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media_links"", ""uri_type"": ""other""}"
325,content_access,ContentResolver.delete,"{""uri"": ""content://mediaphone/media_links"", ""uri_type"": ""other""}"
331,storage,SharedPreferences.getString,"{""key"": ""screen_orientation""}"
355,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
362,storage,SharedPreferences.getString,"{""key"": ""audio_bitrate""}"
364,storage,SharedPreferences.getString,"{""key"": ""audio_bitrate""}"
373,storage,SharedPreferences.getString,"{""key"": ""audio_resampling_bitrate""}"
377,storage,SharedPreferences.getString,"{""key"": ""audio_resampling_bitrate""}"
379,storage,SharedPreferences.getString,"{""key"": ""video_quality""}"
388,storage,SharedPreferences.getString,"{""key"": ""video_quality""}"
391,storage,SharedPreferences.getString,"{""key"": ""video_format""}"
395,storage,SharedPreferences.getString,"{""key"": ""video_format""}"
398,storage,SharedPreferences.getString,"{""key"": ""screen_orientation""}"
408,storage,SharedPreferences.getString,"{""key"": ""screen_orientation""}"
411,storage,SharedPreferences.apply,{}
414,storage,SharedPreferences.getInt,"{""key"": ""android_version""}"
422,storage,SharedPreferences.getInt,"{""key"": ""key_application_version""}"
428,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
439,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
447,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
448,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
463,storage,SharedPreferences.getInt,"{""key"": ""narrative_list_top""}"
472,storage,SharedPreferences.getInt,"{""key"": ""narrative_list_position""}"
489,storage,SharedPreferences.getString,"{""key"": ""last_edited_frame""}"
504,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/narratives"", ""uri_type"": ""other""}"
530,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
541,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
605,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
610,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
622,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
623,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
805,storage,SharedPreferences.apply,{}
807,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/narratives"", ""uri_type"": ""other""}"
808,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/narratives"", ""uri_type"": ""other""}"
811,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/templates"", ""uri_type"": ""other""}"
812,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/templates"", ""uri_type"": ""other""}"
815,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
820,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/frames"", ""uri_type"": ""other""}"
823,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media"", ""uri_type"": ""other""}"
823,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media"", ""uri_type"": ""other""}"
825,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media_links"", ""uri_type"": ""other""}"
826,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/media_links"", ""uri_type"": ""other""}"
828,content_access,ContentResolver.delete,"{""uri"": ""content://mediaphone/media_links"", ""uri_type"": ""other""}"
3866,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3873,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3893,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/templates"", ""uri_type"": ""other""}"
3897,content_access,ContentResolver.query,"{""uri"": ""content://mediaphone/templates"", ""uri_type"": ""other""}"
3923,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3929,storage,SharedPreferences.apply,{}
3970,storage,SharedPreferences.getString,"{""key"": ""screen_orientation""}"
3993,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
