relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
4085,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4095,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
4103,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
4105,storage,SharedPreferences.putString,"{""key"": ""prefLanguageChosen""}"
4111,storage,SharedPreferences.apply,{}
4216,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/shared_prefs/at.mikenet.serbianlatintocyrillic_preferences.xml.bak""}"
4623,storage,SharedPreferences.putString,"{""key"": ""text""}"
4626,storage,SharedPreferences.apply,{}
4628,storage,SharedPreferences.apply,{}
4638,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
4729,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/shared_prefs/at.mikenet.serbianlatintocyrillic_preferences.xml.bak""}"
7023,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
15470,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
24235,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
24260,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
24260,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
24862,storage,SharedPreferences.putString,"{""key"": ""text""}"
24870,storage,SharedPreferences.apply,{}
24879,storage,SharedPreferences.apply,{}
24883,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
71637,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
73181,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
75193,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/files/profileInstalled""}"
79054,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
84870,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
90722,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
96469,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
102135,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
107766,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
113417,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
138373,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
139852,storage,SharedPreferences.apply,{}
139956,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/shared_prefs/androidrate_pref_file.xml.bak""}"
140762,storage,SharedPreferences.putString,"{""key"": ""text""}"
140763,storage,SharedPreferences.apply,{}
140764,storage,SharedPreferences.apply,{}
140792,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
141801,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/files/profileInstalled""}"
145500,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
175387,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
175389,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
175389,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
175925,storage,SharedPreferences.putString,"{""key"": ""text""}"
175927,storage,SharedPreferences.apply,{}
175929,storage,SharedPreferences.apply,{}
175932,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
227761,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
231216,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/files/profileInstalled""}"
239237,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
284432,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
310326,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
310327,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
310327,storage,SharedPreferences.getString,"{""key"": ""prefLanguageChosen""}"
310826,storage,SharedPreferences.putString,"{""key"": ""text""}"
310834,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
310838,storage,SharedPreferences.apply,{}
310840,storage,SharedPreferences.apply,{}
310953,file_io,File.delete,"{""path"": ""/data/user/0/at.mikenet.serbianlatintocyrillic/shared_prefs/at.mikenet.serbianlatintocyrillic_preferences.xml.bak""}"
356332,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
367828,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
423541,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
