relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
455,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
513,storage,SharedPreferences.getInt,"{""key"": ""port""}"
17463,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
17471,storage,SharedPreferences.getInt,"{""key"": ""port""}"
21771,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
21780,storage,SharedPreferences.getInt,"{""key"": ""port""}"
26194,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
26205,storage,SharedPreferences.getInt,"{""key"": ""port""}"
30485,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
30490,storage,SharedPreferences.getInt,"{""key"": ""port""}"
34781,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
34785,storage,SharedPreferences.getInt,"{""key"": ""port""}"
88368,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
143130,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
171208,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
171288,storage,SharedPreferences.getInt,"{""key"": ""port""}"
223461,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
281734,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
340557,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
399366,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
