relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
385,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
392,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
403,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
415,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
424,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
436,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
450,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
457,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
469,storage,SharedPreferences.getString,"{""key"": ""program""}"
473,storage,SharedPreferences.getString,"{""key"": ""uom""}"
476,storage,SharedPreferences.getString,"{""key"": ""smallestPlate""}"
506,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
520,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
526,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
538,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
552,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
560,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
573,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
586,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
599,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
4007,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4015,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4066,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4073,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4135,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4210,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4212,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4212,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4213,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4213,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4213,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4213,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4213,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4213,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4214,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4214,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4214,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4214,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4214,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7131,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7131,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7200,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7200,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10180,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10181,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10222,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10225,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
17612,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
17613,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
17678,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
17678,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
23653,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
