relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
405,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
419,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
430,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
437,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
448,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
454,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
466,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
474,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
482,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
562,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
1645,reflection,Method.invoke,"{""class"": ""android.icu.text.DateFormat$BooleanAttribute"", ""method"": ""values""}"
1653,reflection,Method.invoke,"{""class"": ""android.icu.text.DateTimePatternGenerator$DTPGflags"", ""method"": ""values""}"
4053,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
4057,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
4070,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
4072,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
4086,storage,SharedPreferences.getInt,"{""key"": ""setting_custom_color""}"
4088,storage,SharedPreferences.getInt,"{""key"": ""setting_custom_color""}"
4101,storage,SharedPreferences.getString,"{""key"": ""setting_system_notification_priority""}"
4104,storage,SharedPreferences.getString,"{""key"": ""setting_system_notification_priority""}"
4150,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4157,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4183,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4199,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4209,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4222,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7631,ipc_intents,Context.sendBroadcast,"{""action"": ""ca.rmen.android.frcwidget.UPDATE_WIDGET"", ""target"": ""ca.rmen.android.frcwidget.UPDATE_WIDGET""}"
56565,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
61119,reflection,Method.invoke,"{""class"": ""ca.rmen.android.frccommon.converter.FRCConverterActivity"", ""method"": ""resetGregorianDatePicker""}"
64002,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
64012,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
64016,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
64019,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
64024,storage,SharedPreferences.getInt,"{""key"": ""setting_custom_color""}"
64028,storage,SharedPreferences.getInt,"{""key"": ""setting_custom_color""}"
64034,storage,SharedPreferences.getString,"{""key"": ""setting_system_notification_priority""}"
64038,storage,SharedPreferences.getString,"{""key"": ""setting_system_notification_priority""}"
64091,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
64105,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
64116,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
64128,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
64137,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
64149,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
67570,ipc_intents,Context.sendBroadcast,"{""action"": ""ca.rmen.android.frcwidget.UPDATE_WIDGET"", ""target"": ""ca.rmen.android.frcwidget.UPDATE_WIDGET""}"
76088,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
76089,storage,SharedPreferences.getString,"{""key"": ""setting_method""}"
76090,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
76090,storage,SharedPreferences.getString,"{""key"": ""setting_language""}"
76092,storage,SharedPreferences.getInt,"{""key"": ""setting_custom_color""}"
