relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
294,storage,SharedPreferences.getString,"{""key"": ""appTheme""}"
302,storage,SharedPreferences.getString,"{""key"": ""statusTextSize""}"
305,storage,SharedPreferences.getString,"{""key"": ""fontFamily""}"
324,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
353,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
360,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
369,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
376,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
452,storage,SharedPreferences.getString,"{""key"": ""appTheme""}"
456,storage,SharedPreferences.getString,"{""key"": ""statusTextSize""}"
462,storage,SharedPreferences.getString,"{""key"": ""fontFamily""}"
502,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
535,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
542,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
552,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
562,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
572,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
582,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
588,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
595,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
604,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
614,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
621,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
628,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
637,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
643,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
654,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
666,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
673,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
684,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
690,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
702,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
716,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
722,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
732,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4190,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4208,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4231,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4257,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4278,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4289,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4302,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4311,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4323,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4335,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4384,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4393,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4406,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4419,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4425,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4446,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4455,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4463,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4470,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7290,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7296,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7327,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7344,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7373,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7391,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7425,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10231,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
16025,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16029,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16037,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16039,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16040,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16041,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16106,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16108,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18910,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18917,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18935,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18942,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18970,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18980,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19056,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
19090,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21857,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21865,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21906,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21924,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21955,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21968,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21993,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
22005,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24768,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24773,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24788,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24796,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24810,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24821,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24852,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24861,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27639,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27644,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27659,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27675,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27691,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27708,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27741,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27741,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31649,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31649,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31663,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31664,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31666,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31667,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31718,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31718,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34493,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34494,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34500,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34501,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34503,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34503,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34559,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34566,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38444,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38444,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38463,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38463,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38464,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38465,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38511,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38515,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
41245,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
41246,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
41262,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
