relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
343,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
344,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
347,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
347,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
363,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
364,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
378,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
392,reflection,Method.invoke,"{""class"": ""android.os.Looper"", ""method"": ""getMainLooper""}"
404,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
408,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
408,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
410,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
410,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
436,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
437,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
443,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
443,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
504,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
504,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
513,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
513,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
787,reflection,Method.invoke,"{""class"": ""androidx.fragment.app.Fragment"", ""method"": ""getActivity""}"
6720,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
6743,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
6748,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
6757,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
6781,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
6788,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
6799,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
6806,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7009,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7023,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7067,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7076,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
9784,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
9789,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
9800,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
9806,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
9814,reflection,Method.invoke,"{""class"": ""androidx.databinding.ViewDataBinding$OnStartListener"", ""method"": ""onStart""}"
9837,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
9849,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
9904,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
9922,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
