relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
386,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
436,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
477,storage,SharedPreferences.apply,{}
523,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
540,storage,SharedPreferences.apply,{}
543,audio,MediaRecorder.setAudioSource,"{""audioSource"": 1}"
574,network,okhttp3.RealCall.enqueue,"{""method"": ""GET"", ""url"": ""http://ipinfo.io/json""}"
579,reflection,Method.invoke,"{""class"": ""dalvik.system.CloseGuard"", ""method"": ""get""}"
585,reflection,Method.invoke,"{""class"": ""dalvik.system.CloseGuard"", ""method"": ""open""}"
598,location,LocationManager.requestLocationUpdates,"{""minDistance"": 10, ""minTime"": ""300000"", ""provider"": ""network""}"
610,reflection,Method.invoke,"{""class"": ""android.security.NetworkSecurityPolicy"", ""method"": ""getInstance""}"
622,location,LocationManager.requestLocationUpdates,"{""minDistance"": 10, ""minTime"": ""300000"", ""provider"": ""gps""}"
625,reflection,Method.invoke,"{""class"": ""android.security.NetworkSecurityPolicy"", ""method"": ""isCleartextTrafficPermitted""}"
654,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
660,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
667,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
681,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
724,ipc_intents,Context.bindService,"{""action"": ""android.intent.action.TTS_SERVICE"", ""flags"": 1, ""target"": ""android.intent.action.TTS_SERVICE""}"
763,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
768,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
773,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
783,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
789,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
798,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
803,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
809,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
819,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
823,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
833,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
838,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
845,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
854,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
858,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
868,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
873,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
884,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
889,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
899,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
905,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
914,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
921,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
932,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
937,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
941,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
950,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
956,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
963,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
969,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
976,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
985,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
990,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1001,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1007,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1017,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1022,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1032,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1037,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1043,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1053,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1058,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1066,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1071,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1080,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1086,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1090,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1098,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1104,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1108,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1116,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1121,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1127,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1133,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1138,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1146,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1151,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1155,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1160,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1165,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1170,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1174,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1179,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1185,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1190,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1195,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1200,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1204,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1209,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1214,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1219,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1224,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1229,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1233,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1238,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1243,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1248,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1252,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1257,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1262,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1267,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1272,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1277,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1284,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1288,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1293,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1298,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1302,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1307,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1312,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1317,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1322,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1327,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1331,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1337,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1341,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1346,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1351,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1356,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1361,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1365,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1370,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1375,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1380,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1385,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1390,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1395,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1399,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1404,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1409,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1414,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1419,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1424,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1430,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1434,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1439,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1444,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1448,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1454,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1459,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1464,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1470,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1475,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1480,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1485,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1490,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1495,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1499,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1504,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1508,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1513,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1518,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1524,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1530,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1535,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1539,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1544,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1548,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1553,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1558,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1564,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1569,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1574,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1579,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1585,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1589,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1594,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1598,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
1603,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
1609,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
