relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
369,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
376,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
380,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
398,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
425,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
430,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
436,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
445,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
502,storage,SharedPreferences.putString,"{""key"": ""TempScale""}"
516,storage,SharedPreferences.apply,{}
547,ipc_intents,Context.startService,"{""action"": ""UPDATE_NOTIFICATION"", ""target"": ""barilyuk.batterytemperature/barilyuk.batterytemperature.BatteryTempService""}"
585,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
602,notifications,NotificationManager.notify,"{""id"": 1}"
608,notifications,NotificationManager.notify,"{""id"": 1, ""tag"": null}"
614,notifications,NotificationManager.notifyAsUser,"{""id"": 1, ""tag"": null}"
910,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
1053,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
1056,storage,SharedPreferences.apply,{}
2388,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
4398,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
5544,storage,SharedPreferences.apply,{}
5658,file_io,File.delete,"{""path"": ""/data/user/0/barilyuk.batterytemperature/shared_prefs/MyPrefs.xml.bak""}"
6420,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
8447,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10316,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10317,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10318,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10325,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10337,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10337,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10338,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10338,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
10359,storage,SharedPreferences.putString,"{""key"": ""TempScale""}"
10360,storage,SharedPreferences.apply,{}
10363,ipc_intents,Context.startService,"{""action"": ""UPDATE_NOTIFICATION"", ""target"": ""barilyuk.batterytemperature/barilyuk.batterytemperature.BatteryTempService""}"
10372,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10372,notifications,NotificationManager.notify,"{""id"": 1}"
10372,notifications,NotificationManager.notify,"{""id"": 1, ""tag"": null}"
10373,notifications,NotificationManager.notifyAsUser,"{""id"": 1, ""tag"": null}"
10448,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10867,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
10868,storage,SharedPreferences.apply,{}
12324,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
12455,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
13453,storage,SharedPreferences.apply,{}
13560,file_io,File.delete,"{""path"": ""/data/user/0/barilyuk.batterytemperature/shared_prefs/MyPrefs.xml.bak""}"
14341,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
14464,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
15387,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
16353,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
16476,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
17396,storage,SharedPreferences.getString,"{""key"": ""TempScale""}"
