relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
423,storage,SharedPreferences.getString,"{""key"": ""PREF_THEME""}"
453,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
487,storage,SharedPreferences.getInt,"{""key"": ""team_id""}"
527,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team"", ""uri_type"": ""other""}"
537,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team"", ""uri_type"": ""other""}"
541,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team"", ""uri_type"": ""other""}"
546,storage,SharedPreferences.getInt,"{""key"": ""team_id""}"
546,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team/1"", ""uri_type"": ""other""}"
546,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team/1"", ""uri_type"": ""other""}"
560,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
572,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team/1"", ""uri_type"": ""other""}"
579,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team/1"", ""uri_type"": ""other""}"
592,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/team"", ""uri_type"": ""other""}"
596,storage,SharedPreferences.getInt,"{""key"": ""team_id""}"
605,storage,SharedPreferences.getInt,"{""key"": ""team_id""}"
631,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
651,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
677,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/meeting"", ""uri_type"": ""other""}"
776,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
789,content_access,ContentResolver.query,"{""uri"": ""content://ca.rmen.android.scrumchatter.provider/member_stats"", ""uri_type"": ""other""}"
844,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
859,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
869,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
878,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
