relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
375,storage,SharedPreferences.getInt,"{""key"": ""sortMethodStatus""}"
3954,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTransitionAlpha""}"
6821,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
6841,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
6843,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
6844,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
6861,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
6882,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTransitionAlpha""}"
9987,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTransitionAlpha""}"
12872,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12888,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
12891,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
12893,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
12909,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12932,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTransitionAlpha""}"
16038,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTransitionAlpha""}"
18944,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18954,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
18956,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
18957,database,SQLiteDatabase.execSQL,"{""sql"": ""create table if not exists categories(_id integer primary key autoincrement,label varchar,packages varchar)""}"
