relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
351,storage,SharedPreferences.getString,"{""key"": ""fiat""}"
359,storage,SharedPreferences.getString,"{""key"": ""displayUnit""}"
362,storage,SharedPreferences.getString,"{""key"": ""sendType""}"
386,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
431,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
436,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
446,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
452,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
463,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
468,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
480,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
485,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3888,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3893,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3912,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
3918,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
3930,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
3942,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
3951,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
3962,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
3975,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
3985,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
3998,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
4012,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
4025,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
4041,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
4052,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
4069,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
4082,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
4092,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
4102,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
4115,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
4128,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
4141,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
4148,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
4154,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
4162,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
