relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
989,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
994,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
1012,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
2195,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
2201,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
2206,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
3402,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
3407,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
3412,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
3922,storage,SharedPreferences.getString,"{""key"": ""service.wifiLock""}"
3928,storage,SharedPreferences.putString,"{""key"": ""service.wifiLock""}"
3945,storage,SharedPreferences.apply,{}
3953,storage,SharedPreferences.getString,"{""key"": ""service.wifiLock""}"
3958,storage,SharedPreferences.getString,"{""key"": ""service.masqueradeMode""}"
3967,storage,SharedPreferences.putString,"{""key"": ""service.masqueradeMode""}"
3974,storage,SharedPreferences.apply,{}
3981,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
3987,storage,SharedPreferences.putString,"{""key"": ""service.ipMonitor""}"
3992,storage,SharedPreferences.apply,{}
4003,storage,SharedPreferences.getString,"{""key"": ""service.upstream""}"
4007,storage,SharedPreferences.getString,"{""key"": ""service.upstream""}"
4010,storage,SharedPreferences.getString,"{""key"": ""service.upstream.fallback""}"
4020,storage,SharedPreferences.getString,"{""key"": ""service.upstream.fallback""}"
4028,storage,SharedPreferences.getString,"{""key"": ""service.masqueradeMode""}"
4037,storage,SharedPreferences.getString,"{""key"": ""service.masqueradeMode""}"
4045,storage,SharedPreferences.apply,{}
4089,storage,SharedPreferences.apply,{}
4090,storage,SharedPreferences.getString,"{""key"": ""service.wifiLock""}"
4090,storage,SharedPreferences.getString,"{""key"": ""service.wifiLock""}"
4091,storage,SharedPreferences.apply,{}
4093,storage,SharedPreferences.apply,{}
4095,storage,SharedPreferences.apply,{}
4096,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
4097,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
4100,storage,SharedPreferences.getString,"{""key"": ""service.upstream""}"
4106,reflection,Method.invoke,"{""class"": ""android.net.NetworkRequest$Type"", ""method"": ""values""}"
4107,storage,SharedPreferences.getString,"{""key"": ""service.upstream.fallback""}"
4111,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4113,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4115,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4115,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4115,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4116,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4126,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
4134,file_io,File.delete,"{""path"": ""/data/user_de/0/be.mygod.vpnhotspot_foss/shared_prefs/be.mygod.vpnhotspot_foss_preferences.xml.bak""}"
4147,file_io,File.delete,"{""path"": ""/data/user_de/0/be.mygod.vpnhotspot_foss/shared_prefs/be.mygod.vpnhotspot_foss_preferences.xml.bak""}"
4154,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4158,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4162,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4164,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4165,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4166,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4184,reflection,Method.invoke,"{""class"": ""android.net.LinkProperties"", ""method"": ""getAllRoutes""}"
4195,ipc_intents,Context.sendBroadcast,"{""action"": ""com.twofortyfouram.locale.intent.action.REQUEST_QUERY"", ""target"": ""com.twofortyfouram.locale.intent.action.REQUEST_QUERY""}"
4208,reflection,Method.invoke,"{""class"": ""android.net.LinkProperties"", ""method"": ""getAllRoutes""}"
4309,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4310,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4311,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4313,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4315,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4317,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4317,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4318,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4327,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4328,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4329,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4330,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4331,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4332,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4333,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4334,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4613,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
4622,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
4629,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
5886,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
5894,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
5903,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
7201,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
7206,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
7211,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
7867,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7868,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
7871,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7872,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7873,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7874,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7875,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7882,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
7887,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
8244,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
8252,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
8258,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
9501,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
9507,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
9515,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
10781,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
10786,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
10790,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
11118,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
11125,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
11132,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
11204,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 1, ""target"": ""be.mygod.vpnhotspot_foss/be.mygod.vpnhotspot.RepeaterService""}"
11216,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 1, ""target"": ""be.mygod.vpnhotspot_foss/be.mygod.vpnhotspot.LocalOnlyHotspotService""}"
11229,ipc_intents,Context.bindService,"{""action"": null, ""flags"": 1, ""target"": ""be.mygod.vpnhotspot_foss/be.mygod.vpnhotspot.TetheringService""}"
11243,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
11264,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11287,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11306,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11324,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11337,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11355,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11491,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11507,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11524,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11538,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11555,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11569,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11582,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11594,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11614,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11630,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11641,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11651,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11663,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11676,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11690,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
11702,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
12024,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
12024,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
12025,process,ProcessBuilder.start,"{""command"": ""[object Object]""}"
13270,storage,SharedPreferences.getString,"{""key"": ""service.ipMonitor""}"
