relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
404,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
409,storage,SharedPreferences.getInt,"{""key"": ""biz.binarysolutions.stress.SCORE""}"
443,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
474,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
483,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
492,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
501,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
514,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
522,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
537,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
549,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
3956,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3963,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3998,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.IntroActivity"", ""method"": ""onButtonStartPretestClick""}"
4015,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4032,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4095,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4135,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4148,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4164,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4176,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4198,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4207,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4307,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
4322,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7007,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7014,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7032,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.PretestActivity"", ""method"": ""startTest""}"
7051,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7063,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7235,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
7261,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7267,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7290,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
7296,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7301,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7308,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7317,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7330,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7393,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
7398,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
10165,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.TestActivity"", ""method"": ""onRadioButtonClicked""}"
10170,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
10179,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12964,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
12968,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
12984,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.TestActivity"", ""method"": ""onNextClicked""}"
12999,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13004,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13068,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
13086,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13101,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13137,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
13150,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
13163,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
13176,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
13198,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
13215,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
13328,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
13343,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
16100,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.TestActivity"", ""method"": ""onRadioButtonClicked""}"
16108,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16119,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18883,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18884,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18902,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.TestActivity"", ""method"": ""onNextClicked""}"
18928,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18936,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19004,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
19020,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19037,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
19080,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
19095,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
19114,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
19126,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
19148,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
19162,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
19267,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
19280,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
22088,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.TestActivity"", ""method"": ""onRadioButtonClicked""}"
22098,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
22115,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24894,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24902,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24919,reflection,Method.invoke,"{""class"": ""biz.binarysolutions.stress.TestActivity"", ""method"": ""onNextClicked""}"
24932,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24942,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25001,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
25035,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25053,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
