relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
285,storage,SharedPreferences.getString,"{""key"": ""app_language_key""}"
289,storage,SharedPreferences.getString,"{""key"": ""app_language_key""}"
295,storage,SharedPreferences.getString,"{""key"": ""service""}"
304,storage,SharedPreferences.getString,"{""key"": ""content_country""}"
307,storage,SharedPreferences.getString,"{""key"": ""service""}"
4011,storage,SharedPreferences.getString,"{""key"": ""autoplay_key""}"
4034,storage,SharedPreferences.getString,"{""key"": ""stream_info_selected_tab""}"
4065,reflection,Method.invoke,"{""class"": ""android.app.IActivityManager"", ""method"": ""registerReceiver""}"
4122,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4127,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4133,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4142,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4151,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4195,ipc_intents,Context.sendBroadcast,"{""action"": ""InfinityLoop1309.NewPipeEnhanced.VideoDetailFragment.ACTION_SHOW_MAIN_PLAYER"", ""target"": ""InfinityLoop1309.NewPipeEnhanced.VideoDetailFragment.ACTION_SHOW_MAIN_PLAYER""}"
4221,reflection,Method.invoke,"{""class"": ""android.app.IActivityManager"", ""method"": ""broadcastIntent""}"
4230,network,Socket.connect,"{""endpoint"": ""youtubei.googleapis.com/216.239.34.223:443""}"
4293,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4300,crypto,MessageDigest.digest,{}
4304,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4307,crypto,MessageDigest.digest,{}
4311,crypto,MessageDigest.getInstance,"{""algorithm"": ""MD5""}"
4314,crypto,MessageDigest.digest,{}
4319,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4323,crypto,MessageDigest.digest,{}
4327,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4329,crypto,MessageDigest.digest,{}
4334,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4337,crypto,MessageDigest.digest,{}
4342,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4347,crypto,MessageDigest.digest,{}
4351,crypto,MessageDigest.getInstance,"{""algorithm"": ""SHA1""}"
4361,crypto,MessageDigest.digest,{}
4380,network,Socket.connect,"{""endpoint"": ""youtubei.googleapis.com/216.239.34.223:443""}"
