relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
403,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
409,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
417,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
422,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
428,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
439,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
446,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
459,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
1484,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
1488,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
1520,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
1527,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
1537,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
1542,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4280,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
4291,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
4304,storage,SharedPreferences.putString,"{""key"": ""key_theme""}"
4324,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
4338,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
4342,storage,SharedPreferences.putString,"{""key"": ""key_first_day""}"
4355,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
4357,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
4360,storage,SharedPreferences.putString,"{""key"": ""key_date_format""}"
4368,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
4373,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
4378,storage,SharedPreferences.putString,"{""key"": ""key_quality""}"
4384,storage,SharedPreferences.apply,{}
4488,file_io,File.delete,"{""path"": ""/data/user/0/ch.mydoli.focal/shared_prefs/ch.mydoli.focal_preferences.xml.bak""}"
7536,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7549,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7559,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7572,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7583,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7594,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7605,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
7622,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
8603,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
8608,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
8614,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
8618,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
26200,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
29156,reflection,Method.invoke,"{""class"": ""com.canhub.cropper.CropImageView$CropShape"", ""method"": ""values""}"
29157,reflection,Method.invoke,"{""class"": ""com.canhub.cropper.CropImageView$CropCornerShape"", ""method"": ""values""}"
29157,reflection,Method.invoke,"{""class"": ""com.canhub.cropper.CropImageView$Guidelines"", ""method"": ""values""}"
29159,reflection,Method.invoke,"{""class"": ""com.canhub.cropper.CropImageView$ScaleType"", ""method"": ""values""}"
29159,reflection,Method.invoke,"{""class"": ""android.graphics.Bitmap$CompressFormat"", ""method"": ""values""}"
29159,reflection,Method.invoke,"{""class"": ""com.canhub.cropper.CropImageView$RequestSizeOptions"", ""method"": ""values""}"
29164,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
43132,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
54234,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
85016,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
88579,file_io,File.delete,"{""path"": ""/data/user/0/ch.mydoli.focal/files/profileInstalled""}"
105684,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
105689,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
105693,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
105697,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
105703,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
105708,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
105714,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
105719,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
108888,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108903,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108912,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108921,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108929,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108940,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108949,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
108962,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
109928,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
109939,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
109948,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
109954,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
121514,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
121519,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
121523,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
121528,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
121536,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
121541,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
121547,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
121551,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
124651,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124663,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124675,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124689,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124700,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124715,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124724,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
124744,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
125768,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
125776,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
125786,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
125798,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
137080,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
137085,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
137096,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
137100,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
137105,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
137110,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
137119,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
137124,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
140193,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140208,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140222,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140239,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140254,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140281,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140297,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
140310,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
141287,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
141299,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
141309,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
141319,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
172817,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172818,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172819,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172820,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172821,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172824,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172825,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
172833,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
172923,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
172924,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
172945,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
172947,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
172948,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
172948,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
219172,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
222315,file_io,File.delete,"{""path"": ""/data/user/0/ch.mydoli.focal/files/profileInstalled""}"
297524,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
331788,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331800,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331810,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331824,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331839,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331852,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331867,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""getDefault""}"
331882,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
332925,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
332932,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
332940,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
332947,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
343565,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
343565,storage,SharedPreferences.getString,"{""key"": ""key_theme""}"
343565,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
343565,storage,SharedPreferences.getString,"{""key"": ""key_first_day""}"
343566,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
343566,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
343567,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
343567,storage,SharedPreferences.getString,"{""key"": ""key_quality""}"
397579,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
411943,storage,SharedPreferences.getString,"{""key"": ""key_date_format""}"
