relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
373,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
374,storage,SharedPreferences.getString,"{""key"": ""set_nitter_host""}"
375,storage,SharedPreferences.getString,"{""key"": ""set_invidious_host""}"
375,storage,SharedPreferences.getString,"{""key"": ""set_bibliogram_host""}"
376,storage,SharedPreferences.getString,"{""key"": ""set_teddit_host""}"
376,storage,SharedPreferences.getString,"{""key"": ""set_scriberip_host""}"
377,storage,SharedPreferences.getString,"{""key"": ""set_wikiless_host""}"
377,storage,SharedPreferences.getString,"{""key"": ""set_osm_host""}"
377,storage,SharedPreferences.getString,"{""key"": ""set_proxitok_host""}"
380,storage,SharedPreferences.getString,"{""key"": ""set_nitter_host""}"
380,storage,SharedPreferences.getString,"{""key"": ""set_invidious_host""}"
380,storage,SharedPreferences.getString,"{""key"": ""set_bibliogram_host""}"
381,storage,SharedPreferences.getString,"{""key"": ""set_teddit_host""}"
381,storage,SharedPreferences.getString,"{""key"": ""set_scriberip_host""}"
382,storage,SharedPreferences.getString,"{""key"": ""set_wikiless_host""}"
382,storage,SharedPreferences.getString,"{""key"": ""set_proxitok_host""}"
399,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
401,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
403,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
407,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
408,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
409,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
410,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
410,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
411,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3946,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3953,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4066,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
4095,storage,SharedPreferences.getString,"{""key"": ""invidious_dark_mode""}"
4101,storage,SharedPreferences.getString,"{""key"": ""invidious_dark_mode""}"
4105,storage,SharedPreferences.putString,"{""key"": ""invidious_dark_mode""}"
4124,storage,SharedPreferences.getString,"{""key"": ""invidious_thin_mode""}"
4129,storage,SharedPreferences.getString,"{""key"": ""invidious_thin_mode""}"
4139,storage,SharedPreferences.putString,"{""key"": ""invidious_thin_mode""}"
4155,storage,SharedPreferences.getString,"{""key"": ""invidious_language_mode""}"
4162,storage,SharedPreferences.getString,"{""key"": ""invidious_language_mode""}"
4172,storage,SharedPreferences.putString,"{""key"": ""invidious_language_mode""}"
4178,storage,SharedPreferences.getString,"{""key"": ""invidious_annotations_mode""}"
4191,storage,SharedPreferences.getString,"{""key"": ""invidious_annotations_mode""}"
4195,storage,SharedPreferences.putString,"{""key"": ""invidious_annotations_mode""}"
4206,storage,SharedPreferences.getString,"{""key"": ""invidious_autoplay_mode""}"
4211,storage,SharedPreferences.getString,"{""key"": ""invidious_autoplay_mode""}"
4215,storage,SharedPreferences.putString,"{""key"": ""invidious_autoplay_mode""}"
4222,storage,SharedPreferences.getString,"{""key"": ""invidious_continue_mode""}"
4225,storage,SharedPreferences.getString,"{""key"": ""invidious_continue_mode""}"
4228,storage,SharedPreferences.putString,"{""key"": ""invidious_continue_mode""}"
4233,storage,SharedPreferences.getString,"{""key"": ""invidious_listen_mode""}"
4236,storage,SharedPreferences.getString,"{""key"": ""invidious_listen_mode""}"
4238,storage,SharedPreferences.putString,"{""key"": ""invidious_listen_mode""}"
4243,storage,SharedPreferences.getString,"{""key"": ""invidious_local_mode""}"
4247,storage,SharedPreferences.getString,"{""key"": ""invidious_local_mode""}"
4250,storage,SharedPreferences.putString,"{""key"": ""invidious_local_mode""}"
4254,storage,SharedPreferences.getString,"{""key"": ""invidious_subtitles_mode""}"
4257,storage,SharedPreferences.getString,"{""key"": ""invidious_subtitles_mode""}"
4260,storage,SharedPreferences.putString,"{""key"": ""invidious_subtitles_mode""}"
4265,storage,SharedPreferences.getString,"{""key"": ""invidious_quality_mode""}"
4268,storage,SharedPreferences.getString,"{""key"": ""invidious_quality_mode""}"
4271,storage,SharedPreferences.putString,"{""key"": ""invidious_quality_mode""}"
4275,storage,SharedPreferences.getString,"{""key"": ""invidious_loop_mode""}"
4278,storage,SharedPreferences.getString,"{""key"": ""invidious_loop_mode""}"
4281,storage,SharedPreferences.putString,"{""key"": ""invidious_loop_mode""}"
4285,storage,SharedPreferences.getString,"{""key"": ""invidious_volume_mode""}"
4288,storage,SharedPreferences.getString,"{""key"": ""invidious_volume_mode""}"
4291,storage,SharedPreferences.putString,"{""key"": ""invidious_volume_mode""}"
4296,storage,SharedPreferences.getInt,"{""key"": ""invidious_volume_value""}"
4299,storage,SharedPreferences.getInt,"{""key"": ""invidious_volume_value""}"
4301,storage,SharedPreferences.getString,"{""key"": ""invidious_player_style_mode""}"
4304,storage,SharedPreferences.getString,"{""key"": ""invidious_player_style_mode""}"
4307,storage,SharedPreferences.putString,"{""key"": ""invidious_player_style_mode""}"
4310,storage,SharedPreferences.apply,{}
4313,storage,SharedPreferences.getString,"{""key"": ""invidious_volume_mode""}"
4339,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4350,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4428,file_io,File.delete,"{""path"": ""/data/user/0/app.fedilab.nitterizeme/shared_prefs/app.fedilab.nitterizeme_preferences.xml.bak""}"
4863,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
7269,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
13103,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
18825,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
24555,storage,SharedPreferences.getString,"{""key"": ""set_nitter_host""}"
24558,storage,SharedPreferences.getString,"{""key"": ""set_invidious_host""}"
24562,storage,SharedPreferences.getString,"{""key"": ""set_bibliogram_host""}"
24566,storage,SharedPreferences.getString,"{""key"": ""set_teddit_host""}"
24571,storage,SharedPreferences.getString,"{""key"": ""set_scriberip_host""}"
24574,storage,SharedPreferences.getString,"{""key"": ""set_wikiless_host""}"
24579,storage,SharedPreferences.getString,"{""key"": ""set_proxitok_host""}"
27449,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27458,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27467,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27476,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27484,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27490,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27497,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27503,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27512,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27519,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27525,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27531,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27540,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27547,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27554,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27561,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27570,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27577,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27583,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27590,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27597,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27607,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27622,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27632,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27642,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27651,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27659,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27667,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27676,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27684,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27692,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27701,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27708,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27715,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27722,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27730,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27736,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27743,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27752,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27758,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27765,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27771,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27777,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27785,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27792,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27800,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27807,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27814,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27824,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27831,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27839,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27847,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
27853,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollX""}"
27861,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getScrollY""}"
27869,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getLeft""}"
27876,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTop""}"
27882,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getRight""}"
27890,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getBottom""}"
